Name,Age,Team_2122,GP_2122,W_2122,SO_2122,SV_2122,SV%_2122,Yrs,Team_2021,GP_2021,W_2021,SO_2021,SV_2021,SV%_2021,Team_1920,GP_1920,W_1920,SO_1920,SV_1920,SV%_1920,Pos_2122,G_2122,A_2122,PTS_2122,GWG_2122,TOI_2122,SOG_2122,Hits_2122,Blocks_2122,PPG_2122,PPP_2122,Pos_2021,G_2021,A_2021,PTS_2021,GWG_2021,TOI_2021,SOG_2021,Hits_2021,Blocks_2021,PPG_2021,PPP_2021,Pos_1920,G_1920,A_1920,PTS_1920,GWG_1920,TOI_1920,SOG_1920,Hits_1920,Blocks_1920,PPG_1920,PPP_1920,ADP,Pos
KEVIN LANKINEN,27,NSH,32,8,0,867,0.891,1,NSH,37,17,2,1095,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,G
ERIK KALLGREN,25,TOR,14,8,1,342,0.888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JOONAS KORPISALO,28,CBJ,22,7,0,556,0.877,1,CBJ,33,9,0,808,0.894,CBJ,37,19,2,938,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
STUART SKINNER,23,EDM,13,6,1,335,0.913,1,EDM,1,1,0,33,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
DAVID RITTICH,29,WPG,17,6,0,382,0.886,1,WPG,19,5,1,417,0.901,WPG,48,24,2,1340,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
FILIP GUSTAVSSON,24,MIN,18,5,0,512,0.892,1,MIN,9,5,0,237,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CHARLIE LINDGREN,28,WSH,5,5,0,113,0.958,3,,,,,,,WSH,6,2,0,158,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MATT MURRAY,28,TOR,20,5,1,580,0.906,2,TOR,27,10,2,659,0.893,TOR,38,20,1,948,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JAROSLAV HALAK,37,NYR,17,4,0,361,0.903,1,NYR,19,9,2,436,0.905,NYR,31,18,3,832,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ANDREW HAMMOND,34,,11,4,0,276,0.879,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JONATHAN BERNIER,33,N.J,10,4,0,238,0.902,1,N.J,24,9,0,692,0.914,N.J,46,15,1,1227,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,G
JON GILLIES,28,ARI,20,3,0,488,0.887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
SPENCER MARTIN,27,VAN,6,3,0,207,0.95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JONAS JOHANSSON,26,COL,11,3,0,226,0.856,1,COL,15,5,1,341,0.897,COL,6,1,0,135,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JOSEPH WOLL,24,TOR,4,3,1,112,0.911,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
J-F BERUBE,31,,6,3,0,188,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
PYOTR KOCHETKOV,23,CAR,3,3,0,55,0.902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ANTON KHUDOBIN,36,DAL,9,3,0,203,0.879,1,DAL,32,12,3,723,0.905,DAL,30,16,0,820,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,G
MICHAEL HOUSER,29,,2,2,0,73,0.948,0,,4,2,0,127,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
UKKO-PEKKA LUUKKONEN,23,BUF,9,2,0,254,0.917,0,BUF,4,1,0,135,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
HARRI SATERI,32,,6,2,0,136,0.866,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
TUUKKA RASK,35,BOS,4,2,0,76,0.844,0,BOS,24,15,2,558,0.913,BOS,41,26,5,1104,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,G
