"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"MATTHEW TKACHUK","","R","24","L","CGY","69","23","38","61","0.88","72","72","6","19","02:50","62.5","18:18","188","-5","74","0","$5M","$7M","$7M"
"RYAN NUGENT-HOPKINS","","C","29","L","EDM","65","22","39","61","0.94","71","77","4","24","03:45","84.0","20:28","172","1","33","6","$6M","$6M","$6M"
"RYAN O'REILLY","","C","31","L","STL","71","12","49","61","0.86","70","70","4","18","02:54","63.3","20:34","118","11","10","1","$6M","$7.5M","$7.5M"
"TRAVIS KONECNY","","R","25","R","PHI","66","24","37","61","0.92","73","76","4","23","02:52","52.4","16:48","141","-1","28","3","$4M","$5.5M","$5.5M"
"TOMAS TATAR","","L","31","L","N.J","68","22","39","61","0.90","73","74","1","14","02:11","48.9","16:18","162","5","36","1","$5.5M","$5.3M","$5.3M"
"MATHEW BARZAL","","C","25","R","NYI","68","19","41","60","0.88","72","72","2","12","02:38","63.1","20:03","171","5","44","1","$0.83M","$0.86M","$1.26M"
"DAVID PERRON","","R","34","R","DET","71","25","35","60","0.85","69","69","10","27","02:59","65.3","18:19","166","2","52","2","$4.75M","$4M","$4M"
"JONATHAN TOEWS","","C","34","L","CHI","70","18","42","60","0.86","70","70","7","8","03:19","63.8","19:47","172","-2","48","1","$9.8M","$10.5M","$10.5M"
"JOHN TAVARES","","C","31","L","TOR","63","26","34","60","0.95","71","78","4","21","03:01","68.6","19:33","197","-7","24","3","$15.9M","$11M","$11M"
"RYAN STROME","","C","29","R","ANA","70","18","41","59","0.84","68","69","3","17","02:57","55.4","19:35","154","21","48","5","$3.2M","$3.1M","$3.1M"
"MIKE HOFFMAN","","R","32","L","MTL","69","29","30","59","0.86","68","70","3","21","03:39","72.8","16:50","214","-5","28","2","$5.65M","$5.19M","$5.19M"
"WILLIAM NYLANDER","","L","26","R","TOR","68","31","28","59","0.87","69","71","7","17","02:53","64.4","18:13","197","-2","12","2","$9M","$6.96M","$6.96M"
"SEAN COUTURIER","","C","29","L","PHI","69","22","37","59","0.86","70","70","6","13","02:46","51.5","19:50","185","21","30","6","$4.5M","$4.33M","$4.33M"
"BRAYDEN SCHENN","","C","30","L","STL","71","25","33","58","0.82","67","67","4","21","02:51","62.5","18:28","138","3","44","6","$4.5M","$5.13M","$5.13M"
"NIKOLAJ EHLERS","","L","26","L","WPG","71","25","33","58","0.82","67","67","5","5","01:20","28.5","16:31","203","14","30","3","$6.5M","$6M","$6M"
"JOHNNY GAUDREAU","","L","28","L","CBJ","70","18","40","58","0.83","68","68","2","18","02:54","63.8","18:47","209","-10","12","6","$6.75M","$6.75M","$6.75M"
"JADEN SCHWARTZ","","L","30","L","SEA","71","22","35","57","0.80","57","66","4","20","02:48","61.4","18:11","162","3","18","4","$5.75M","$5.35M","$5.35M"
"JAKUB VORACEK","","R","32","L","CBJ","69","12","44","56","0.81","66","67","3","17","02:57","54.9","17:03","132","14","31","2","$9.25M","$8.25M","$8.25M"
"PATRICE BERGERON","","C","36","R","BOS","61","31","25","56","0.92","67","75","5","20","03:37","68.6","18:44","203","23","28","0","$4.38M","$6.88M","$6.88M"
"BRYAN RUST","","R","30","R","PIT","55","27","29","56","1.02","69","83","6","17","02:48","57.4","19:46","151","14","30","6","$3.5M","$3.5M","$3.5M"
"VICTOR HEDMAN","","D","31","L","T.B","66","11","44","55","0.83","65","68","3","22","03:06","62.7","24:04","155","27","31","3","$8M","$7.88M","$7.88M"
"NICKLAS BACKSTROM","","C","34","L","WSH","61","12","42","54","0.89","66","73","1","18","03:45","67.9","19:01","132","-1","14","3","$8M","$6.7M","$6.7M"
"KEVIN FIALA","","L","25","L","L.A","64","23","31","54","0.84","64","69","4","18","02:23","46.1","15:24","175","-1","42","6","$2.5M","$3M","$3M"
"BROCK NELSON","","C","30","L","NYI","68","26","28","54","0.79","65","65","6","7","02:02","48.6","18:52","175","6","32","3","$8M","$6M","$6M"
"ELIAS LINDHOLM","","C","27","R","CGY","70","29","25","54","0.77","63","63","7","19","02:50","62.3","19:43","169","-8","22","2","$5.85M","$4.85M","$4.85M"
"REILLY SMITH","","R","31","L","VGK","71","27","27","54","0.76","62","62","6","5","01:54","43.1","17:55","169","17","20","3","$5M","$5M","$5M"
"TONY DEANGELO","","D","26","R","PHI","68","15","38","53","0.78","63","64","3","19","03:05","58.2","19:17","149","12","47","2","$0.93M","$0.93M","$0.93M"
"CLAUDE GIROUX","","R","34","R","OTT","69","21","32","53","0.77","61","63","7","20","03:06","57.9","18:59","197","7","28","3","$8M","$8.28M","$8.28M"
"QUINN HUGHES","","D","22","L","VAN","68","8","45","53","0.78","63","64","2","25","03:48","68.0","21:53","126","-10","22","5","$0.93M","$0.92M","$1.6M"
"DYLAN LARKIN","","C","25","L","DET","71","19","34","53","0.75","61","61","3","14","03:14","62.3","21:15","223","-21","39","1","$7M","$6.1M","$6.1M"
"BO HORVAT","","C","27","L","VAN","69","22","31","53","0.77","63","63","3","16","03:42","66.0","19:44","178","-15","21","1","$5.78M","$5.5M","$5.5M"
"TAYLOR HALL","","L","30","L","BOS","65","16","36","52","0.80","62","66","1","18","03:28","62.1","19:10","232","-14","34","3","$6M","$6M","$6M"
"EVGENY KUZNETSOV","","C","30","L","WSH","63","19","33","52","0.83","63","68","0","12","03:11","60.6","17:51","129","-2","40","3","$8.4M","$7.8M","$7.8M"
"ALEX PIETRANGELO","","D","32","R","VGK","70","16","36","52","0.74","60","61","4","22","03:06","67.2","24:11","225","11","20","5","$7.5M","$6.5M","$6.5M"
"JAKUB VRANA","","L","26","L","DET","69","25","27","52","0.75","60","62","6","12","01:57","36.0","14:53","187","3","18","2","$3.7M","$3.35M","$3.35M"
"TYLER SEGUIN","","R","30","R","DAL","69","17","33","50","0.72","59","59","6","15","02:34","54.4","19:09","245","-2","22","5","$13.5M","$9.85M","$9.85M"
"CALE MAKAR","","D","23","R","COL","57","12","38","50","0.88","61","72","4","19","03:43","65.3","21:01","121","12","12","5","$0.93M","$0.88M","$2.85M"
"SAM REINHART","","R","26","R","FLA","69","22","28","50","0.72","59","59","2","12","03:28","71.1","20:38","144","-15","20","2","$3.75M","$3.65M","$3.65M"
"TOREY KRUG","","D","31","L","STL","61","9","40","49","0.80","58","66","4","28","03:53","73.7","20:29","144","-4","33","5","$5M","$5.25M","$5.25M"
"T.J. OSHIE","","R","35","R","WSH","69","26","23","49","0.71","58","58","7","12","03:35","66.5","18:18","133","4","26","3","$6.5M","$5.75M","$5.75M"
"PIERRE-LUC DUBOIS","","C","24","L","WPG","70","18","31","49","0.70","57","57","4","10","02:40","57.4","17:56","158","-2","49","0","$0.83M","$0.89M","$3.39M"
"TIMO MEIER","","L","25","L","S.J","70","22","27","49","0.70","57","57","3","9","02:06","47.3","17:17","199","-22","42","1","$4M","$6M","$6M"
"ALEX KILLORN","","R","32","L","T.B","68","26","23","49","0.72","58","59","7","13","02:36","53.8","17:56","130","19","20","1","$4.45M","$4.45M","$4.45M"
"SEAN MONAHAN","","C","27","L","CGY","70","22","26","48","0.69","56","56","8","16","02:52","63.1","18:06","166","-16","25","1","$6.75M","$6.38M","$6.38M"
"RYAN SUTER","","D","37","L","DAL","69","8","40","48","0.70","57","57","2","18","02:54","56.4","24:38","111","-6","12","3","$9M","$7.54M","$7.54M"
"FILIP FORSBERG","","L","27","R","NSH","63","21","27","48","0.76","58","62","5","14","02:52","55.3","17:21","198","-7","29","6","$6M","$6M","$6M"
"TYLER BERTUZZI","","L","27","L","DET","71","21","27","48","0.68","55","55","1","14","03:09","60.6","19:19","129","-23","40","1","$1.4M","$1.4M","$1.4M"
"ERIC STAAL","","C","37","L","","66","19","28","47","0.71","105","58","5","14","02:42","51.7","17:08","113","-9","28","0","$3.5M","$3.25M","$3.25M"
"PHILLIP DANAULT","","C","29","L","L.A","71","13","34","47","0.66","55","54","1","4","01:34","34.9","18:51","131","18","32","5","$3M","$3.08M","$3.08M"
"JONATHAN MARCHESSAULT","","L","31","R","VGK","66","22","25","47","0.71","55","58","5","12","02:13","49.6","17:17","235","6","28","2","$6M","$5M","$5M"
"EVANDER KANE","","L","30","L","EDM","64","26","21","47","0.73","55","60","6","18","02:43","63.5","19:32","216","-12","122","4","$8M","$7M","$7M"
"EVGENII DADONOV","","R","33","L","MTL","69","25","22","47","0.68","54","56","2","17","03:20","66.5","17:06","167","-7","10","1","$3.6M","$4M","$4M"
"SIDNEY CROSBY","","C","34","L","PIT","41","16","31","47","1.15","62","94","4","17","03:51","72.8","20:16","109","-8","15","3","$9M","$8.7M","$8.7M"
"WILLIAM KARLSSON","","C","29","L","VGK","63","15","31","46","0.73","54","60","1","8","01:57","45.2","18:52","138","11","16","5","$5.9M","$5.9M","$5.9M"
"ZACH PARISE","","L","37","L","NYI","69","25","21","46","0.67","55","55","5","18","02:46","53.6","17:12","155","-11","8","3","$9M","$7.54M","$7.54M"
"DOMINIK KUBALIK","","L","26","L","DET","68","30","16","46","0.68","53","55","3","8","01:57","37.8","14:22","157","2","16","2","$0.93M","$0.93M","$1.78M"
"SHEA THEODORE","","D","26","L","VGK","71","13","33","46","0.65","53","53","4","16","03:06","70.6","22:14","219","12","25","3","$5.2M","$5.2M","$5.2M"
"PAVEL BUCHNEVICH","","L","27","L","STL","68","16","30","46","0.68","53","55","1","9","02:18","42.8","16:56","148","2","24","3","$3M","$3.25M","$3.25M"
"BRENT BURNS","","D","37","R","CAR","70","12","33","45","0.64","54","53","1","17","02:46","62.1","25:25","225","-22","34","3","$10M","$8M","$8M"
"KYLE PALMIERI","","R","31","R","NYI","65","25","20","45","0.69","55","57","3","18","03:10","58.2","17:07","155","-4","41","3","$5M","$4.65M","$4.65M"
"ALEX DEBRINCAT","","L","24","R","OTT","70","18","27","45","0.64","52","53","4","16","03:29","66.9","17:30","207","-10","15","1","$0.8M","$0.78M","$0.89M"
"MIKAEL BACKLUND","","C","33","L","CGY","70","16","29","45","0.64","53","53","3","10","01:24","30.9","17:57","157","3","26","2","$5.85M","$5.35M","$5.35M"
"CHRIS KREIDER","","L","31","L","NYR","63","24","21","45","0.71","54","59","5","13","03:28","66.3","17:15","156","13","58","5","$4M","$4.63M","$4.63M"
"NEAL PIONK","","D","26","R","WPG","71","6","39","45","0.63","52","52","1","25","02:56","62.7","23:23","177","10","32","3","$2.85M","$3M","$3M"
"TANNER PEARSON","","L","29","L","VAN","69","21","24","45","0.65","53","53","3","10","01:35","28.4","16:31","164","-4","27","2","$3.85M","$3.75M","$3.75M"
"NICK SCHMALTZ","","R","26","R","ARI","70","11","34","45","0.64","53","53","6","13","02:15","43.0","15:32","95","3","20","4","$3M","$5.85M","$5.85M"
"KEITH YANDLE","","D","35","L","","69","5","40","45","0.65","98","53","0","21","03:42","73.7","19:42","129","0","20","1","$5.75M","$6.35M","$6.35M"
"ANDRE BURAKOVSKY","","L","27","L","SEA","58","20","25","45","0.78","45","64","6","11","02:23","42.0","15:12","103","11","22","5","$3.25M","$3.25M","$3.25M"
"BROCK BOESER","","R","25","R","VAN","57","16","29","45","0.79","55","65","3","14","04:07","70.4","18:34","169","4","14","3","$4M","$5.88M","$5.88M"
"TYLER TOFFOLI","","R","30","R","CGY","68","24","20","44","0.65","52","53","4","10","02:10","49.3","16:51","203","-1","20","2","$4.8M","$4.6M","$4.6M"
"GABRIEL LANDESKOG","","L","29","L","COL","54","21","23","44","0.81","54","67","4","15","03:47","70.8","20:02","145","-2","47","6","$6M","$5.57M","$5.57M"
"NIKITA GUSEV","","L","30","R","","66","13","31","44","0.67","99","55","5","15","02:29","45.4","14:42","158","-15","12","0","$5M","$4.5M","$4.5M"
"BRADY TKACHUK","","L","22","L","OTT","71","21","23","44","0.62","51","51","3","8","02:56","58.6","18:56","259","-14","106","6","$0.93M","$0.93M","$3.43M"
"ANTHONY CIRELLI","","C","25","L","T.B","68","16","28","44","0.65","52","53","3","5","00:57","19.0","18:28","113","28","30","6","$0.7M","$0.73M","$0.94M"
"MAX DOMI","","L","27","L","","71","17","27","44","0.62","95","51","3","11","02:19","51.8","17:06","179","-3","35","1","$3.15M","$3.15M","$3.15M"
"CLAYTON KELLER","","L","23","L","ARI","70","17","27","44","0.63","52","52","2","15","02:42","51.7","16:18","184","-6","28","6","$0.83M","$0.89M","$1.67M"
"TOM WILSON","","R","28","R","WSH","68","21","23","44","0.65","52","53","5","7","01:51","34.5","18:16","154","-3","93","2","$4.5M","$5.17M","$5.17M"
"KRIS LETANG","","D","35","R","PIT","61","15","29","44","0.72","53","59","2","15","03:31","69.5","25:44","177","0","38","6","$7.25M","$7.25M","$7.25M"
"DAVID KREJCI","","C","36","R","","61","13","30","43","0.70","101","58","3","14","01:51","36.4","17:10","83","14","23","0","$7M","$7.25M","$7.25M"
"CONNOR BROWN","","R","28","R","WSH","71","16","27","43","0.61","51","50","1","4","01:40","33.4","20:07","173","-6","24","1","$2.1M","$2.1M","$2.1M"
"ALEX IAFALLO","","L","28","L","L.A","70","17","26","43","0.61","50","50","3","9","02:29","54.6","18:56","142","1","14","3","$2.4M","$2.43M","$2.43M"
"ADAM HENRIQUE","","L","32","L","ANA","71","26","17","43","0.61","50","50","1","9","02:20","51.4","16:52","169","-3","22","2","$5.83M","$5.83M","$5.83M"
"JOSH BAILEY","","R","32","L","NYI","68","14","29","43","0.63","52","52","2","9","01:48","43.1","16:54","94","-12","10","2","$6M","$5M","$5M"
"JAKE GUENTZEL","","L","27","L","PIT","39","20","23","43","1.10","57","90","5","10","03:10","67.7","20:38","127","11","14","2","$7M","$6M","$6M"
"BRENDAN GALLAGHER","","R","30","R","MTL","59","22","21","43","0.73","51","60","1","5","02:03","47.9","16:55","226","9","29","5","$4M","$3.75M","$3.75M"
"ANDERS LEE","","L","32","L","NYI","68","20","23","43","0.63","52","52","6","7","02:17","54.7","18:18","195","8","47","4","$9M","$7M","$7M"
"RICKARD RAKELL","","R","29","R","PIT","65","15","27","42","0.65","50","53","3","9","02:22","53.1","18:10","186","-5","12","6","$3.8M","$3.79M","$3.79M"
"RYAN GETZLAF","","C","37","R","","69","13","29","42","0.61","92","50","5","9","02:26","54.9","18:44","143","-16","58","0","$8.28M","$8.25M","$8.25M"
"JEAN-GABRIEL PAGEAU","","C","29","R","NYI","67","26","16","42","0.63","51","51","5","10","01:47","34.8","19:09","151","4","49","4","$3.4M","$3.1M","$3.1M"
"ROBERT THOMAS","","C","23","R","STL","66","10","32","42","0.64","49","52","2","7","01:26","31.2","14:34","87","9","18","6","$0.93M","$0.89M","$1.18M"
"MATT DUCHENE","","R","31","L","NSH","66","13","29","42","0.64","50","52","1","11","02:39","50.1","16:53","136","-4","24","4","$10M","$8M","$8M"
"GUSTAV NYQUIST","","L","32","L","CBJ","70","15","27","42","0.60","49","49","3","9","02:35","55.4","18:02","151","4","16","1","$6M","$5.5M","$5.5M"
"ADAM FOX","","D","24","R","NYR","70","8","34","42","0.60","49","49","4","13","01:59","37.2","18:54","125","22","32","6","$0.93M","$0.93M","$1.78M"
"VICTOR OLOFSSON","","R","27","L","BUF","54","20","22","42","0.78","52","64","4","17","03:19","64.9","18:23","127","-1","6","2","$0.79M","$0.77M","$0.93M"
"AARON EKBLAD","","D","26","R","FLA","67","5","36","41","0.61","49","50","1","6","01:27","28.4","22:59","147","12","26","3","$9M","$7.5M","$7.5M"
"ZACH WERENSKI","","D","25","L","CBJ","63","20","21","41","0.65","49","53","4","13","02:44","60.7","23:59","187","9","10","6","$4M","$5M","$5M"
"KEVIN HAYES","","C","30","L","PHI","69","23","18","41","0.59","49","49","5","7","01:39","30.6","17:44","175","-6","34","4","$9M","$7.14M","$7.14M"
"NICK SUZUKI","","C","22","R","MTL","71","13","28","41","0.58","47","47","1","14","02:10","48.5","15:59","138","-15","6","6","$0.93M","$0.86M","$1.33M"
"ONDREJ PALAT","","L","31","L","N.J","69","17","24","41","0.59","49","49","2","8","01:20","27.1","16:11","128","25","22","5","$5.3M","$5.3M","$5.3M"
"JASON ZUCKER","","L","30","L","PIT","60","20","21","41","0.68","50","56","4","12","02:17","42.6","16:20","111","-4","21","1","$6.25M","$5.5M","$5.5M"
"MIKKO RANTANEN","","R","25","L","COL","42","19","22","41","0.98","53","80","5","14","03:30","66.3","18:57","107","-2","14","3","$12M","$9.25M","$9.25M"
"JEFF PETRY","","D","34","R","PIT","71","11","29","40","0.56","47","46","3","11","02:24","53.6","23:39","158","-10","26","3","$4M","$5.5M","$5.5M"
"ANTHONY DUCLAIR","","R","26","L","FLA","66","23","17","40","0.61","48","50","2","8","02:34","52.1","16:16","184","-5","18","2","$1.65M","$1.65M","$1.65M"
"ERIK KARLSSON","","D","32","R","S.J","56","6","34","40","0.71","49","59","0","13","03:00","67.6","24:31","120","-15","16","5","$14.5M","$11.5M","$11.5M"
"DOUGIE HAMILTON","","D","29","R","N.J","47","14","26","40","0.85","51","70","4","12","03:10","63.9","23:17","170","30","32","6","$6M","$5.75M","$5.75M"
"JORDAN EBERLE","","R","32","R","SEA","58","16","24","40","0.69","40","57","3","11","02:36","58.4","17:49","136","1","12","2","$7.25M","$5.5M","$5.5M"
"JAMES VAN RIEMSDYK","","L","33","L","PHI","66","19","21","40","0.61","48","50","2","9","02:34","47.6","14:54","151","5","8","1","$8M","$7M","$7M"
"RASMUS DAHLIN","","D","22","L","BUF","59","4","36","40","0.68","49","56","2","19","03:22","70.1","19:18","90","-7","38","2","$0.93M","$0.93M","$3.78M"
"LOGAN COUTURE","","C","33","L","S.J","52","16","23","39","0.75","48","62","3","9","02:45","59.4","18:32","126","0","18","5","$10M","$8M","$8M"
"CONOR GARLAND","","L","26","R","VAN","68","22","17","39","0.57","46","47","6","10","02:06","40.0","14:09","158","1","20","4","$0.75M","$0.78M","$0.78M"
"THOMAS CHABOT","","D","25","L","OTT","71","6","33","39","0.55","45","45","0","11","03:15","65.3","26:00","186","-18","42","6","$0.83M","$0.86M","$1.22M"
"JAMIE BENN","","C","33","L","DAL","69","19","20","39","0.57","46","46","4","14","02:24","50.9","16:26","163","-4","53","3","$13M","$9.5M","$9.5M"
"JAKOB SILFVERBERG","","R","31","R","ANA","66","21","18","39","0.59","46","48","1","7","02:23","52.2","17:41","155","0","14","2","$5.25M","$5.25M","$5.25M"
"ANTHONY BEAUVILLIER","","R","25","L","NYI","68","18","21","39","0.57","47","47","3","7","01:47","42.5","17:16","132","-11","15","2","$1.8M","$2.1M","$2.1M"
"TYSON BARRIE","","D","30","R","EDM","70","5","34","39","0.56","45","46","0","12","02:40","59.2","21:53","169","-7","16","2","$6M","$5.5M","$5.5M"
"LARS ELLER","","C","33","L","WSH","69","16","23","39","0.57","46","46","1","6","01:44","32.3","17:01","151","3","48","1","$4M","$3.5M","$3.5M"
"PAUL STASTNY","","C","36","L","","71","17","21","38","0.54","82","44","3","10","02:19","52.6","17:08","136","6","24","0","$6.5M","$6.5M","$6.5M"
"RYAN ELLIS","","D","31","R","PHI","49","8","30","38","0.78","48","64","3","9","02:13","40.1","23:30","114","16","19","5","$7.7M","$6.25M","$6.25M"
"CHRISTIAN DVORAK","","C","26","L","MTL","70","18","20","38","0.54","44","45","2","10","02:44","52.3","16:42","134","6","12","3","$3.25M","$4.45M","$4.45M"
"VINCENT TROCHECK","","C","29","R","NYR","62","11","27","38","0.61","45","50","4","7","01:58","37.8","16:44","141","-8","49","6","$5.25M","$4.75M","$4.75M"
"PHIL KESSEL","","R","34","R","","70","14","24","38","0.54","83","45","2","17","03:09","60.4","17:09","153","-21","22","0","$7M","$8M","$8M"
"DYLAN STROME","","C","25","L","WSH","58","12","26","38","0.66","47","54","2","8","02:36","47.8","15:56","97","1","16","1","$0.83M","$0.86M","$3.34M"
"ANTHONY MANTHA","","R","27","L","WSH","43","16","22","38","0.88","49","72","3","9","03:03","58.6","18:54","137","-7","34","2","$3.3M","$3.3M","$3.3M"
"ZACH HYMAN","","R","30","R","EDM","51","21","16","37","0.73","45","59","1","6","01:06","26.8","19:06","106","13","23","6","$2.5M","$2.25M","$2.25M"
"CHRIS TIERNEY","","L","28","L","FLA","71","11","26","37","0.52","44","43","2","2","00:57","18.9","17:11","102","-6","20","1","$2.98M","$2.94M","$2.94M"
"CHARLIE COYLE","","C","30","R","BOS","70","16","21","37","0.53","43","43","3","5","01:52","36.3","16:47","145","9","21","4","$4.25M","$3.2M","$3.2M"
"MATS ZUCCARELLO","","R","34","L","MIN","65","15","22","37","0.57","44","47","2","7","02:27","49.3","15:56","96","-9","18","2","$5M","$6M","$6M"
"TYLER ENNIS","","L","32","L","","70","16","21","37","0.53","80","43","1","10","02:09","45.2","14:43","159","-6","20","0","$0.8M","$0.8M","$0.8M"
"MARTIN NECAS","","R","23","R","CAR","64","16","20","36","0.56","44","46","3","9","01:48","36.5","14:10","88","-6","20","0","$0.93M","$0.86M","$1.4M"
"RYAN JOHANSEN","","C","29","R","NSH","68","14","22","36","0.53","43","43","2","9","02:41","50.9","17:03","101","-5","45","3","$8M","$8M","$8M"
"TOMAS HERTL","","C","28","L","S.J","48","16","20","36","0.75","45","62","1","7","02:35","58.2","18:27","117","-18","16","6","$6.25M","$5.63M","$5.63M"
"SHEA WEBER","","D","36","R","VGK","65","15","21","36","0.55","42","45","2","8","02:10","49.2","24:00","185","8","33","4","$6M","$7.86M","$7.86M"
"NICO HISCHIER","","C","23","L","N.J","58","14","22","36","0.62","44","51","1","10","02:41","50.3","18:04","123","-16","12","5","$0.93M","$0.93M","$3.78M"
"IVAN PROVOROV","","D","25","L","PHI","69","13","23","36","0.52","43","43","3","16","03:03","56.8","24:51","150","11","24","3","$6.75M","$6.75M","$6.75M"
"NAZEM KADRI","","C","31","L","","51","19","17","36","0.71","94","58","1","11","03:47","65.2","17:26","133","7","97","0","$4.5M","$4.5M","$4.5M"
"JACCOB SLAVIN","","D","28","L","CAR","68","6","30","36","0.53","43","43","3","3","00:55","18.7","23:24","145","30","10","3","$5.5M","$5.3M","$5.3M"
"OLIVER BJORKSTRAND","","R","27","R","CBJ","49","21","15","36","0.73","45","60","5","6","02:29","48.3","17:56","162","8","12","4","$2.5M","$2.5M","$2.5M"
"JAKE VIRTANEN","","R","25","R","","69","18","18","36","0.52","79","43","6","9","00:53","15.6","13:05","150","-4","41","0","$1.5M","$1.25M","$1.25M"
