"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"LEON DRAISAITL","","L","26","L","EDM","71","43","67","110","1.55","127","127","11","44","03:51","87.1","22:37","218","-7","18","3","$9M","$8.5M","$8.5M"
"CONNOR MCDAVID","","C","25","L","EDM","64","34","63","97","1.52","114","124","7","43","03:53","87.3","21:52","212","-6","28","4","$15M","$12.5M","$12.5M"
"DAVID PASTRNAK","","R","26","R","BOS","70","48","47","95","1.36","111","111","10","38","03:46","73.1","18:58","279","21","40","1","$6.8M","$6.67M","$6.67M"
"ARTEMI PANARIN","","L","30","R","NYR","69","32","63","95","1.38","112","113","4","24","03:44","70.8","20:36","209","36","20","4","$14M","$11.64M","$11.64M"
"NATHAN MACKINNON","","C","26","R","COL","69","35","58","93","1.35","109","111","4","31","04:07","73.3","21:13","318","13","12","1","$6.75M","$6.3M","$6.3M"
"BRAD MARCHAND","","L","34","L","BOS","70","28","59","87","1.24","102","102","5","28","03:41","71.8","19:27","185","25","82","3","$7.5M","$6.13M","$6.13M"
"NIKITA KUCHEROV","","R","29","L","T.B","68","33","52","85","1.25","100","103","6","25","03:33","71.0","18:52","210","26","38","5","$12M","$9.5M","$9.5M"
"PATRICK KANE","","R","33","L","CHI","70","33","51","84","1.20","98","98","2","23","03:43","71.4","21:20","275","8","40","1","$9.8M","$10.5M","$10.5M"
"AUSTON MATTHEWS","","C","24","L","TOR","70","47","33","80","1.14","94","94","5","25","03:12","70.9","20:58","290","19","8","2","$15.9M","$11.63M","$11.63M"
"JONATHAN HUBERDEAU","","L","29","L","FLA","69","23","55","78","1.13","93","93","3","29","03:34","71.0","18:46","152","5","30","1","$6.2M","$5.9M","$5.9M"
"JACK EICHEL","","C","25","R","VGK","68","36","42","78","1.15","91","94","10","27","03:53","79.4","22:06","227","5","34","4","$10M","$10M","$10M"
"MIKA ZIBANEJAD","","C","29","R","NYR","57","41","34","75","1.32","91","108","7","27","03:40","70.1","21:38","208","9","14","6","$5.35M","$5.35M","$5.35M"
"JOHN CARLSON","","D","32","R","WSH","69","15","60","75","1.09","89","89","6","26","04:01","74.7","24:38","189","12","26","4","$12M","$8M","$8M"
"EVGENI MALKIN","","C","35","L","PIT","55","25","49","74","1.35","91","110","5","24","03:42","71.3","19:31","171","7","58","4","$9.5M","$9.5M","$9.5M"
"MARK SCHEIFELE","","C","29","R","WPG","71","29","44","73","1.03","84","84","6","20","03:18","70.9","21:48","170","2","45","2","$6.75M","$6.13M","$6.13M"
"KYLE CONNOR","","L","25","L","WPG","71","38","35","73","1.03","84","84","8","17","03:18","70.7","21:05","239","4","34","4","$7.5M","$7.14M","$7.14M"
"J.T. MILLER","","C","29","L","VAN","69","27","45","72","1.04","86","86","4","25","03:52","69.1","20:06","165","11","47","1","$6M","$5.25M","$5.25M"
"MITCHELL MARNER","","R","25","R","TOR","59","16","51","67","1.14","81","93","2","24","03:13","68.2","21:33","154","6","16","3","$16M","$10.89M","$10.89M"
"ALEX OVECHKIN","","L","36","R","WSH","68","48","19","67","0.99","80","81","3","18","04:53","90.7","20:40","311","-12","30","4","$10M","$9.54M","$9.54M"
"STEVEN STAMKOS","","C","32","R","T.B","57","29","37","66","1.16","80","95","7","19","03:17","67.8","18:25","176","14","22","2","$9.5M","$8.5M","$8.5M"
"SEBASTIAN AHO","","C","24","L","CAR","68","38","28","66","0.97","80","80","5","17","02:51","58.3","19:25","206","10","26","2","$12M","$8.45M","$8.45M"
"MAX PACIORETTY","","L","33","L","CAR","71","32","34","66","0.93","79","76","5","19","02:27","55.7","17:55","307","18","44","1","$10.5M","$7M","$7M"
"ELIAS PETTERSSON","","C","23","L","VAN","68","27","39","66","0.97","79","80","6","24","03:53","69.2","18:32","162","16","18","2","$0.93M","$0.93M","$3.78M"
"BLAKE WHEELER","","R","35","R","WPG","71","22","43","65","0.92","75","75","2","22","03:16","69.8","19:19","180","1","37","2","$10M","$8.25M","$8.25M"
"ROMAN JOSI","","D","32","L","NSH","69","16","49","65","0.94","77","77","1","23","03:17","61.8","25:47","260","22","41","6","$4M","$4M","$4M"
"BRAYDEN POINT","","C","26","R","T.B","66","25","39","64","0.97","76","80","5","13","03:17","65.6","18:54","141","28","11","6","$5.25M","$6.75M","$6.75M"
"TEUVO TERAVAINEN","","L","27","L","CAR","68","15","48","63","0.93","76","76","2","21","03:00","61.5","19:12","182","20","8","2","$6.25M","$5.4M","$5.4M"
"PATRIK LAINE","","R","24","R","CBJ","68","28","35","63","0.93","74","76","2","16","03:14","68.6","19:25","226","8","22","0","$6M","$6.75M","$6.75M"
"MARK STONE","","R","30","R","VGK","65","21","42","63","0.97","74","79","3","17","02:31","55.0","19:25","168","15","27","5","$12M","$9.5M","$9.5M"
"ANZE KOPITAR","","C","34","L","L.A","70","21","41","62","0.89","73","73","6","21","02:53","63.5","21:02","135","6","16","2","$11M","$10M","$10M"
"ALEKSANDER BARKOV","","C","26","L","FLA","66","20","42","62","0.94","74","77","2","20","03:23","66.6","20:01","172","2","18","6","$6.9M","$5.9M","$5.9M"
"ANDREI SVECHNIKOV","","L","22","L","CAR","68","24","37","61","0.90","74","74","8","20","02:57","60.5","16:44","183","9","54","6","$0.93M","$0.93M","$3.58M"
