"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"KAREL VEJMELKA","","26","R","ARI","52","13","32","3","1","170","1669","1499","3.68","0.898","22","42.3","2772","3","$0.84M","$0.84M","$0.93M"
"PETR MRAZEK","","30","L","CHI","20","12","6","0","0","58","520","462","3.34","0.888","5","25.0","1042","2","$2.8M","$3.8M","$3.8M"
"ANTHONY STOLARZ","","28","L","ANA","28","12","8","3","3","67","809","742","2.67","0.917","12","42.9","1506","1","$0.95M","$0.95M","$0.95M"
"MARTIN JONES","","32","L","SEA","35","12","18","3","0","114","1141","1027","3.42","0.900","15","42.9","1997","2","$2M","$2M","$2M"
"BRIAN ELLIOTT","","37","L","T.B","19","11","4","3","1","43","489","446","2.43","0.912","6","31.6","1063","1","$0.9M","$0.9M","$0.9M"
"CASEY DESMITH","","30","L","PIT","26","11","6","5","3","66","769","703","2.79","0.914","11","42.3","1417","2","$1.5M","$1.25M","$1.25M"
"DUSTIN TOKARSKI","","32","L","PIT","29","10","12","5","1","91","900","809","3.27","0.899","12","41.4","1671","1","$0.75M","$0.73M","$0.73M"
"SEMYON VARLAMOV","","34","L","NYI","31","10","17","2","2","87","978","891","2.91","0.911","16","51.6","1792","1","$6M","$5M","$5M"
"BRADEN HOLTBY","","32","L","","24","10","10","1","0","61","700","639","2.78","0.913","11","45.8","1318","0","$2M","$2M","$2M"
"ADIN HILL","","26","L","S.J","25","10","11","1","2","61","648","587","2.66","0.906","11","44.0","1375","1","$1.68M","$2.18M","$2.18M"
"LAURENT BROSSOIT","","29","L","VGK","24","10","9","3","1","62","588","526","2.90","0.895","10","41.7","1281","1","$1.65M","$2.33M","$2.33M"
"THOMAS GREISS","","36","L","STL","31","10","15","1","0","92","842","750","3.66","0.891","14","45.2","1507","1","$4.4M","$3.6M","$3.6M"
"ERIC COMRIE","","27","L","BUF","19","10","5","1","1","44","550","506","2.58","0.920","10","52.6","1024","2","$0.75M","$0.75M","$0.75M"
"LOGAN THOMPSON","","25","R","VGK","19","10","5","3","1","49","569","520","2.68","0.914","10","52.6","1097","3","$0.83M","$0.8M","$0.8M"
"NICO DAWS","","21","L","N.J","25","10","11","1","0","66","617","551","3.11","0.893","7","28.0","1271","2","$0.84M","$0.85M","$0.93M"
"MACKENZIE BLACKWOOD","","25","L","N.J","25","9","10","4","2","79","731","652","3.39","0.892","8","32.0","1399","1","$2.8M","$2.8M","$2.8M"
"CHRIS DRIEDGER","","28","L","SEA","27","9","14","1","1","73","722","649","2.96","0.899","9","33.3","1478","2","$2.5M","$3.5M","$3.5M"
"JAKE ALLEN","","31","L","MTL","35","9","20","4","2","107","1123","1016","3.30","0.905","14","40.0","1947","1","$2M","$2.88M","$2.88M"
"SAM MONTEMBEAULT","","25","L","MTL","38","8","18","6","1","122","1124","1002","3.77","0.891","11","28.9","1942","2","$0.75M","$0.75M","$0.75M"
"KEVIN LANKINEN","","27","L","NSH","32","8","15","6","0","106","973","867","3.50","0.891","10","31.3","1815","1","$0.85M","$0.8M","$0.8M"
"ERIK KALLGREN","","25","L","TOR","14","8","4","1","1","43","385","342","3.31","0.888","5","35.7","779","1","$0.75M","$0.75M","$0.75M"
"JOONAS KORPISALO","","28","L","CBJ","22","7","11","0","0","78","634","556","4.15","0.877","5","22.7","1128","1","$3.4M","$2.8M","$2.8M"
"STUART SKINNER","","23","L","EDM","13","6","6","0","1","32","367","335","2.62","0.913","6","46.2","734","1","$0.75M","$0.75M","$0.75M"
"DAVID RITTICH","","29","L","WPG","17","6","3","4","0","49","431","382","3.57","0.886","4","23.5","822","1","$1.25M","$1.25M","$1.25M"
"FILIP GUSTAVSSON","","24","L","MIN","18","5","12","1","0","62","574","512","3.55","0.892","7","38.9","1047","1","$0.75M","$0.79M","$0.79M"
"CHARLIE LINDGREN","","28","R","WSH","5","5","0","0","0","5","118","113","1.22","0.958","4","80.0","246","3","$0.75M","$0.75M","$0.75M"
"MATT MURRAY","","28","L","TOR","20","5","12","2","1","60","640","580","3.05","0.906","11","55.0","1181","2","$6M","$6.25M","$6.25M"
"JAROSLAV HALAK","","37","L","NYR","17","4","7","2","0","39","400","361","2.94","0.903","7","41.2","796","1","$1.5M","$1.5M","$3M"
"ANDREW HAMMOND","","34","L","","11","4","5","1","0","38","314","276","3.89","0.879","4","36.4","586","0","$0.75M","$0.75M","$0.75M"
"JONATHAN BERNIER","","33","L","N.J","10","4","4","1","0","26","264","238","3.06","0.902","3","30.0","510","1","$3.6M","$4.13M","$4.13M"
"JON GILLIES","","28","L","ARI","20","3","10","2","0","62","550","488","3.71","0.887","6","30.0","1003","1","$0.75M","$0.75M","$0.75M"
"SPENCER MARTIN","","27","L","VAN","6","3","0","3","0","11","218","207","1.74","0.950","6","100.0","378","2","$0.8M","$0.8M","$0.8M"
"JONAS JOHANSSON","","26","L","COL","11","3","4","1","0","38","264","226","4.69","0.856","3","27.3","486","1","$0.75M","$0.75M","$0.75M"
"JOSEPH WOLL","","24","L","TOR","4","3","1","0","1","11","123","112","2.76","0.911","2","50.0","239","3","$0.75M","$0.75M","$0.75M"
"J-F BERUBE","","31","L","","6","3","2","0","0","21","209","188","4.12","0.900","4","66.7","305","0","0","0","0"
"PYOTR KOCHETKOV","","23","L","CAR","3","3","0","0","0","6","61","55","2.45","0.902","2","66.7","146","1","$0.84M","$0.84M","$0.93M"
"ANTON KHUDOBIN","","36","L","DAL","9","3","4","1","0","28","231","203","3.63","0.879","2","22.2","462","1","$3.75M","$3.33M","$3.33M"
