"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"ILYA SOROKIN","","26","L","NYI","22","13","6","3","3","46","563","517","2.17","0.918","15","68.2","1271","2","$2M","$2M","$2M"
"ROBIN LEHNER","","30","L","VGK","19","13","4","2","1","44","505","461","2.29","0.913","12","63.2","1153","3","$3M","$5M","$5M"
"FREDERIK ANDERSEN","","32","L","CAR","24","13","8","3","0","70","668","598","2.96","0.895","9","37.5","1420","1","$5M","$5M","$5M"
"CAREY PRICE","","34","L","MTL","25","12","7","5","1","65","659","594","2.64","0.901","13","52.0","1478","4","$9.75M","$10.5M","$10.5M"
"ANTON KHUDOBIN","","36","L","DAL","32","12","11","7","3","76","799","723","2.54","0.905","17","53.1","1794","1","$2.5M","$3.33M","$3.33M"
"JONATHAN QUICK","","36","L","L.A","22","11","9","2","2","58","566","508","2.86","0.898","9","40.9","1218","1","$3.5M","$5.8M","$5.8M"
"CASEY DESMITH","","30","L","PIT","20","11","7","0","2","48","543","495","2.54","0.912","9","45.0","1132","2","$1.25M","$1.25M","$1.25M"
"JAKE OETTINGER","","23","L","DAL","29","11","8","7","1","63","710","647","2.36","0.911","12","41.4","1604","0","$0.93M","$0.93M","$1.39M"
"JAKE ALLEN","","31","L","MTL","29","11","12","5","0","76","817","741","2.68","0.907","12","41.4","1702","1","$4M","$4.35M","$4.35M"
"PEKKA RINNE","","39","L","","24","10","12","1","2","62","664","602","2.84","0.907","12","50.0","1310","0","$4M","$5M","$5M"
"MATT MURRAY","","28","L","TOR","27","10","13","1","2","79","738","659","3.38","0.893","13","48.1","1404","2","$4M","$6.25M","$6.25M"
"DARCY KUEMPER","","32","L","WSH","27","10","11","3","2","66","710","644","2.56","0.907","14","51.9","1546","5","$3.5M","$4.5M","$4.5M"
"JOHN GIBSON","","29","L","ANA","35","9","19","7","3","101","1039","938","2.99","0.903","15","42.9","2028","5","$6.4M","$6.4M","$6.4M"
"JOONAS KORPISALO","","28","L","CBJ","33","9","13","7","0","96","904","808","3.30","0.894","13","39.4","1747","1","$2.2M","$2.8M","$2.8M"
"VILLE HUSSO","","27","L","DET","17","9","6","1","1","49","460","411","3.21","0.893","7","41.2","917","3","$0.75M","$0.75M","$0.75M"
"LINUS ULLMARK","","28","L","BOS","20","9","6","3","0","49","591","542","2.63","0.917","9","45.0","1117","3","$2.6M","$2.6M","$2.6M"
"JONATHAN BERNIER","","33","L","N.J","24","9","11","1","0","65","757","692","2.99","0.914","14","58.3","1306","1","$2.5M","$3M","$3M"
"JAROSLAV HALAK","","37","L","NYR","19","9","6","4","2","46","482","436","2.53","0.905","9","47.4","1090","1","$2.25M","$2.25M","$3.5M"
"ADIN HILL","","26","L","S.J","19","9","9","1","2","46","530","484","2.74","0.913","8","42.1","1005","1","$0.8M","$0.8M","$0.8M"
"CARTER HART","","23","L","PHI","27","9","11","5","1","89","721","632","3.67","0.877","9","33.3","1456","2","$0.75M","$0.73M","$0.86M"
"CAL PETERSEN","","27","R","L.A","35","9","18","5","0","97","1095","998","2.92","0.911","16","45.7","1995","3","$0.88M","$0.86M","$0.86M"
"ELVIS MERZLIKINS","","28","L","CBJ","28","8","12","5","2","69","825","756","2.77","0.916","14","50.0","1496","5","$3M","$4M","$4M"
"THOMAS GREISS","","36","L","STL","34","8","15","8","2","79","894","815","2.70","0.912","17","50.0","1755","1","$2.8M","$3.6M","$3.6M"
"ALEXANDAR GEORGIEV","","26","L","COL","19","8","7","2","2","44","465","421","2.71","0.905","8","42.1","973","3","$2.2M","$2.43M","$2.43M"
"BRADEN HOLTBY","","32","L","","21","7","11","3","0","77","695","618","3.67","0.889","7","33.3","1260","0","$2.9M","$4.3M","$4.3M"
"JEREMY SWAYMAN","","23","L","BOS","10","7","3","0","2","15","271","256","1.50","0.945","9","90.0","601","1","$0.93M","$0.93M","$1.05M"
"MALCOLM SUBBAN","","28","L","BUF","16","6","8","1","2","47","471","424","3.20","0.900","6","37.5","881","1","$0.75M","$0.85M","$0.85M"
"PETR MRAZEK","","30","L","CHI","12","6","2","3","3","23","298","275","2.12","0.923","6","50.0","650","2","$3.25M","$3.13M","$3.13M"
"LAURENT BROSSOIT","","29","L","VGK","14","6","6","0","1","30","368","338","2.42","0.918","7","50.0","744","1","$1.5M","$1.5M","$1.5M"
"DEVAN DUBNYK","","36","L","","22","6","11","2","1","63","602","539","3.20","0.895","8","36.4","1182","0","$2.5M","$4.33M","$4.33M"
"JONAS JOHANSSON","","26","L","COL","15","5","6","2","1","39","380","341","2.86","0.897","6","40.0","816","1","$0.7M","$0.7M","$0.7M"
"ANTTI RAANTA","","33","L","CAR","12","5","5","2","0","38","401","363","3.36","0.905","6","50.0","678","1","$4M","$4.25M","$4.25M"
"FILIP GUSTAVSSON","","24","L","MIN","9","5","1","2","0","17","254","237","2.16","0.933","6","66.7","471","1","$0.75M","$0.76M","$0.91M"
"DAVID RITTICH","","29","L","WPG","19","5","8","2","1","46","463","417","2.86","0.901","7","36.8","965","1","$2.75M","$2.75M","$2.75M"
"SPENCER KNIGHT","","21","L","FLA","4","4","0","0","0","8","99","91","2.32","0.919","1","25.0","206","1","$0.93M","$0.93M","$2.49M"
"MICHAEL HUTCHINSON","","32","R","VGK","8","4","2","1","1","17","211","194","2.42","0.919","5","62.5","421","1","$0.7M","$0.73M","$0.73M"
"ANTHONY STOLARZ","","28","L","ANA","8","4","3","0","1","17","230","213","2.20","0.926","5","62.5","464","1","$0.7M","$0.75M","$0.75M"
"RYAN MILLER","","42","L","","16","4","8","2","0","51","432","381","3.51","0.882","5","31.3","870","0","$1M","$1M","$1M"
"CURTIS MCELHINNEY","","39","L","","12","4","6","2","1","37","296","259","3.09","0.875","5","41.7","719","0","$1.3M","$1.3M","$1.3M"
"MARCUS HOGBERG","","27","L","","14","4","7","0","0","40","322","282","3.74","0.876","3","21.4","641","0","$0.7M","$0.7M","$0.7M"
"ANTON FORSBERG","","29","L","OTT","8","3","4","1","0","24","264","240","3.21","0.909","6","75.0","448","3","$0.7M","$0.7M","$0.7M"
"SCOTT WEDGEWOOD","","29","L","DAL","16","3","8","3","2","46","458","412","3.11","0.900","5","31.3","888","2","$0.7M","$0.7M","$0.7M"
"JOSEF KORENAR","","24","L","ARI","10","3","5","0","0","26","258","232","3.17","0.899","3","30.0","491","0","$0.7M","$0.72M","$0.72M"
"KEITH KINKAID","","33","L","BOS","9","3","2","1","1","21","205","184","2.59","0.898","2","22.2","485","1","$0.75M","$0.83M","$0.83M"
"DAN VLADAR","","24","L","CGY","5","2","2","1","0","17","149","132","3.40","0.886","2","40.0","300","1","$0.7M","$0.75M","$0.75M"
"CRAIG ANDERSON","","41","L","BUF","4","2","1","0","0","6","71","65","2.13","0.915","1","25.0","168","1","$0.7M","$0.7M","$0.7M"
"DUSTIN TOKARSKI","","32","L","PIT","13","2","8","2","0","43","447","404","3.54","0.904","6","46.2","729","1","$0.7M","$0.73M","$0.73M"
"CALVIN PICKARD","","30","L","EDM","6","2","1","1","0","16","127","111","3.16","0.874","2","33.3","303","2","$0.8M","$0.75M","$0.75M"
"MICHAEL HOUSER","","29","L","","4","2","2","0","0","14","141","127","3.46","0.901","3","75.0","243","0","$0.7M","$0.7M","$0.7M"
"COLLIN DELIA","","28","L","VAN","6","1","3","1","0","20","205","185","3.59","0.902","1","16.7","334","1","$0.75M","$1M","$1M"
"STUART SKINNER","","23","L","EDM","1","1","0","0","0","5","38","33","5.03","0.868","0","0.0","59","1","$0.82M","$0.78M","$0.93M"
"CHRISTOPHER GIBSON","","29","L","","2","1","1","0","0","5","40","35","2.66","0.875","1","50.0","112","0","$0.7M","$0.7M","$0.7M"
"TROY GROSENICK","","32","L","PHI","2","1","1","0","0","6","77","71","3.00","0.922","1","50.0","120","1","$0.7M","$0.7M","$0.7M"
"UKKO-PEKKA LUUKKONEN","","23","L","BUF","4","1","3","0","0","14","149","135","3.88","0.906","1","25.0","216","0","$0.79M","$0.78M","$0.91M"
"HUNTER MISKA","","27","L","","5","1","1","2","0","18","111","93","4.16","0.838","1","20.0","259","0","$0.7M","$0.73M","$0.73M"
"MATISS KIVLENIEKS","","25","L","","2","1","1","0","0","7","71","64","3.40","0.901","1","50.0","123","0","$0.7M","$0.73M","$0.73M"
"ERIC COMRIE","","27","L","BUF","1","1","0","0","0","3","33","30","3.00","0.909","1","100.0","60","2","$0.7M","$0.7M","$0.7M"
"OSCAR DANSK","","28","L","CGY","1","1","0","0","0","4","29","25","3.91","0.862","0","0.0","61","1","$0.7M","$0.7M","$0.7M"
"CARTER HUTTON","","36","L","","13","1","10","1","0","39","341","302","3.47","0.886","4","30.8","674","0","$2.75M","$2.75M","$2.75M"
"ALEX LYON","","29","L","FLA","6","1","3","1","0","18","169","151","3.33","0.893","2","33.3","324","1","$0.7M","$0.7M","$0.7M"
"AARON DELL","","33","L","S.J","7","1","5","0","0","22","154","132","4.14","0.857","1","14.3","319","1","$0.8M","$0.8M","$0.8M"
"JOEY DACCORD","","25","L","SEA","8","1","3","1","0","22","214","192","3.27","0.897","3","37.5","403","1","$0.7M","$0.75M","$0.75M"
"MAXIME LAGACE","","29","L","T.B","1","1","0","0","1","0","29","29","0.00","1.000","1","100.0","60","1","$0.7M","$0.7M","$0.7M"
"CAYDEN PRIMEAU","","22","L","MTL","4","1","2","1","0","14","93","79","4.16","0.849","1","25.0","201","0","$0.93M","$0.88M","$0.97M"
"VEINI VEHVILAINEN","","25","L","","1","0","0","0","0","1","4","3","5.63","0.750","0","0.0","10","0","$0.93M","$0.93M","$0.93M"
"ALEXEI MELNICHUK","","24","L","","3","0","1","1","0","11","81","70","5.05","0.864","0","0.0","130","0","$0.93M","$0.93M","$0.93M"
"ARTYOM ZAGIDULIN","","26","L","","1","0","0","0","0","2","11","9","4.25","0.818","0","0.0","28","0","$0.7M","$0.7M","$0.7M"
"LOUIS DOMINGUE","","30","R","NYR","1","0","1","0","0","3","23","20","3.12","0.870","0","0.0","57","2","$0.7M","$0.7M","$0.7M"
"LOGAN THOMPSON","","25","R","VGK","1","0","0","0","0","0","2","2","0.00","1.000","0","0.0","8","3","$0.78M","$0.8M","$0.8M"
"IVAN PROSVETOV","","23","L","ARI","3","0","1","0","0","9","51","42","4.15","0.824","0","0.0","130","1","$0.79M","$0.81M","$0.93M"
"KASIMIR KASKISUO","","28","L","","1","0","0","0","0","0","3","3","0.00","1.000","0","0.0","15","0","$0.7M","$0.7M","$0.7M"
