"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"ANDREI VASILEVSKIY","","27","L","T.B","42","31","10","1","5","93","1237","1144","2.21","0.925","24","57.1","2523","6","$12M","$9.5M","$9.5M"
"PHILIPP GRUBAUER","","30","L","SEA","40","30","9","1","7","77","993","916","1.95","0.922","26","65.0","2366","5","$2.75M","$3.33M","$3.33M"
"MARC-ANDRE FLEURY","","37","L","MIN","36","26","10","0","6","71","989","918","1.98","0.928","26","72.2","2146","2","$6.5M","$7M","$7M"
"TRISTAN JARRY","","27","L","PIT","39","25","9","3","2","100","1100","1000","2.75","0.909","23","59.0","2185","1","$2.5M","$3.5M","$3.5M"
"CONNOR HELLEBUYCK","","29","L","WPG","45","24","17","3","4","112","1335","1223","2.58","0.916","25","55.6","2602","2","$4.5M","$6.17M","$6.17M"
"JACOB MARKSTROM","","32","L","CGY","43","22","19","2","3","111","1161","1050","2.68","0.904","23","53.5","2486","4","$4M","$6M","$6M"
"MIKE SMITH","","40","L","EDM","32","21","6","2","3","71","921","850","2.31","0.923","19","59.4","1846","1","$1.5M","$1.5M","$2M"
"JUUSE SAROS","","27","L","NSH","36","21","11","1","3","78","1073","995","2.28","0.927","22","61.1","2051","3","$1.5M","$1.5M","$1.5M"
"VITEK VANECEK","","26","L","N.J","37","21","10","4","2","95","1031","936","2.69","0.908","18","48.6","2115","0","$0.7M","$0.72M","$0.72M"
"SEMYON VARLAMOV","","34","L","NYI","36","19","11","4","7","72","1020","948","2.04","0.929","25","69.4","2116","1","$4M","$5M","$5M"
"CAM TALBOT","","35","L","OTT","33","19","8","5","2","86","1008","922","2.63","0.915","20","60.6","1960","1","$4M","$3.67M","$3.67M"
"SERGEI BOBROVSKY","","33","L","FLA","31","19","8","2","0","88","935","847","2.91","0.906","16","51.6","1816","4","$12M","$10M","$10M"
"JORDAN BINNINGTON","","29","L","STL","42","18","14","8","0","108","1200","1092","2.65","0.910","21","50.0","2447","5","$4.25M","$4.4M","$4.4M"
"KEVIN LANKINEN","","27","L","NSH","37","17","14","5","2","109","1204","1095","3.01","0.909","19","51.4","2174","1","$0.75M","$0.8M","$0.8M"
"JACK CAMPBELL","","30","L","EDM","22","17","3","2","2","46","585","539","2.15","0.921","13","59.1","1284","5","$1.5M","$1.65M","$1.65M"
"KAAPO KAHKONEN","","25","L","S.J","24","16","8","0","2","68","692","624","2.88","0.902","10","41.7","1414","2","$0.7M","$0.73M","$0.73M"
"IGOR SHESTERKIN","","26","L","NYR","35","16","14","3","2","83","987","904","2.62","0.916","20","57.1","1899","3","$0.93M","$0.93M","$3.78M"
"THATCHER DEMKO","","26","L","VAN","35","16","18","1","1","99","1164","1065","2.85","0.915","19","54.3","2086","4","$1.2M","$1.05M","$1.05M"
"ALEX NEDELJKOVIC","","26","L","DET","23","15","5","3","3","44","648","604","1.90","0.932","15","65.2","1392","1","$0.75M","$0.74M","$0.74M"
"JAMES REIMER","","34","L","S.J","22","15","5","2","0","59","627","568","2.66","0.906","11","50.0","1331","1","$3.1M","$3.4M","$3.4M"
"MARTIN JONES","","32","L","SEA","34","15","13","4","1","102","980","878","3.28","0.896","15","44.1","1868","2","$6M","$5.75M","$5.75M"
"TUUKKA RASK","","35","L","BOS","24","15","5","2","2","53","611","558","2.28","0.913","15","62.5","1396","0","$6.5M","$7M","$7M"
"BRIAN ELLIOTT","","37","L","T.B","30","15","9","2","2","82","738","656","3.06","0.889","12","40.0","1607","1","$1.5M","$1.5M","$1.5M"
"MACKENZIE BLACKWOOD","","25","L","N.J","35","14","17","4","1","106","1081","975","3.07","0.902","18","51.4","2070","1","$1.48M","$2.8M","$2.8M"
"CHRIS DRIEDGER","","28","L","SEA","23","14","6","3","3","47","640","593","2.07","0.927","15","65.2","1361","2","$0.95M","$0.85M","$0.85M"
"ILYA SAMSONOV","","25","L","TOR","19","13","4","1","2","49","499","450","2.69","0.902","7","36.8","1092","1","$0.93M","$0.93M","$1.48M"
"MIKKO KOSKINEN","","34","L","","26","13","13","0","0","76","756","680","3.17","0.899","12","46.2","1437","0","$3.8M","$4.5M","$4.5M"
