"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"MIKE HOFFMAN","","R","MTL","52","17","19","2","10","17","113","29","12","41","154","0.33","0.37","0.04","0.19","0.33","2.17","0.56","0.23","0.79","2.96"
"WILLIAM NYLANDER","","L","TOR","51","17","25","10","16","11","133","12","15","27","160","0.33","0.49","0.20","0.31","0.22","2.61","0.24","0.29","0.53","3.14"
"JOONAS DONSKOI","","R","SEA","51","17","14","14","10","8","86","14","25","39","125","0.33","0.27","0.27","0.20","0.16","1.69","0.27","0.49","0.76","2.45"
"JOSH NORRIS","","C","OTT","56","17","18","-12","13","14","96","72","34","106","202","0.30","0.32","-0.21","0.23","0.25","1.71","1.29","0.61","1.89","3.61"
"MILES WOOD","","L","N.J","55","17","8","-6","29","3","127","38","25","63","190","0.31","0.15","-0.11","0.53","0.05","2.31","0.69","0.45","1.15","3.45"
"VINCENT TROCHECK","","C","NYR","47","17","26","-3","20","18","123","107","28","135","258","0.36","0.55","-0.06","0.43","0.38","2.62","2.28","0.60","2.87","5.49"
"CHRISTIAN DVORAK","","C","MTL","56","17","14","-11","12","11","95","48","45","93","188","0.30","0.25","-0.20","0.21","0.20","1.70","0.86","0.80","1.66","3.36"
"LOGAN COUTURE","","C","S.J","53","17","14","-10","25","6","114","58","39","97","211","0.32","0.26","-0.19","0.47","0.11","2.15","1.09","0.74","1.83","3.98"
"DARNELL NURSE","","D","EDM","56","16","20","27","57","7","154","117","100","217","371","0.29","0.36","0.48","1.02","0.13","2.75","2.09","1.79","3.88","6.63"
"CLAUDE GIROUX","","R","OTT","54","16","27","-4","12","11","120","32","6","38","158","0.30","0.50","-0.07","0.22","0.20","2.22","0.59","0.11","0.70","2.93"
"YEGOR SHARANGOVICH","","L","N.J","54","16","14","-4","4","2","114","20","20","40","154","0.30","0.26","-0.07","0.07","0.04","2.11","0.37","0.37","0.74","2.85"
"MATTHEW TKACHUK","","R","CGY","56","16","27","6","55","15","151","132","9","141","292","0.29","0.48","0.11","0.98","0.27","2.70","2.36","0.16","2.52","5.21"
"MAX COMTOIS","","L","ANA","55","16","17","3","40","4","94","93","34","127","221","0.29","0.31","0.05","0.73","0.07","1.71","1.69","0.62","2.31","4.02"
"RYAN NUGENT-HOPKINS","","C","EDM","52","16","19","-4","22","20","135","26","29","55","190","0.31","0.37","-0.08","0.42","0.38","2.60","0.50","0.56","1.06","3.65"
"BRAYDEN SCHENN","","C","STL","56","16","20","-2","35","9","113","119","35","154","267","0.29","0.36","-0.04","0.63","0.16","2.02","2.13","0.63","2.75","4.77"
"JORDAN EBERLE","","R","SEA","55","16","17","9","16","5","128","30","18","48","176","0.29","0.31","0.16","0.29","0.09","2.33","0.55","0.33","0.87","3.20"
"JORDAN STAAL","","C","CAR","53","16","22","2","30","14","103","135","24","159","262","0.30","0.42","0.04","0.57","0.26","1.94","2.55","0.45","3.00","4.94"
"ZACH HYMAN","","R","EDM","43","15","18","19","28","5","115","69","21","90","205","0.35","0.42","0.44","0.65","0.12","2.67","1.60","0.49","2.09","4.77"
"NICK RITCHIE","","L","ARI","56","15","11","-7","37","9","121","102","17","119","240","0.27","0.20","-0.13","0.66","0.16","2.16","1.82","0.30","2.13","4.29"
"ANTHONY BEAUVILLIER","","R","NYI","47","15","13","15","12","4","109","39","13","52","161","0.32","0.28","0.32","0.26","0.09","2.32","0.83","0.28","1.11","3.43"
"J.T. MILLER","","C","VAN","53","15","31","-6","43","18","106","90","24","114","220","0.28","0.58","-0.11","0.81","0.34","2.00","1.70","0.45","2.15","4.15"
"ANDREI SVECHNIKOV","","L","CAR","55","15","27","1","44","17","147","114","18","132","279","0.27","0.49","0.02","0.80","0.31","2.67","2.07","0.33","2.40","5.07"
"PATRICK KANE","","R","CHI","56","15","51","-7","14","22","191","13","15","28","219","0.27","0.91","-0.13","0.25","0.39","3.41","0.23","0.27","0.50","3.91"
"NICKLAS BACKSTROM","","C","WSH","55","15","38","0","14","22","91","25","27","52","143","0.27","0.69","0.00","0.25","0.40","1.65","0.45","0.49","0.95","2.60"
"BLAKE WHEELER","","R","WPG","50","15","31","-17","50","15","113","63","30","93","206","0.30","0.62","-0.34","1.00","0.30","2.26","1.26","0.60","1.86","4.12"
"ALEX KILLORN","","R","T.B","56","15","18","-1","37","9","121","59","12","71","192","0.27","0.32","-0.02","0.66","0.16","2.16","1.05","0.21","1.27","3.43"
"JESSE PULJUJARVI","","R","EDM","55","15","10","6","16","4","115","101","20","121","236","0.27","0.18","0.11","0.29","0.07","2.09","1.84","0.36","2.20","4.29"
"NICK SUZUKI","","C","MTL","56","15","26","-5","26","13","110","70","38","108","218","0.27","0.46","-0.09","0.46","0.23","1.96","1.25","0.68","1.93","3.89"
"ANTHONY MANTHA","","R","WSH","56","15","14","-14","25","4","138","49","27","76","214","0.27","0.25","-0.25","0.45","0.07","2.46","0.88","0.48","1.36","3.82"
"CAM ATKINSON","","R","PHI","56","15","19","-16","4","9","158","22","30","52","210","0.27","0.34","-0.29","0.07","0.16","2.82","0.39","0.54","0.93","3.75"
"ANDREW COPP","","R","DET","55","15","24","2","20","12","114","67","41","108","222","0.27","0.44","0.04","0.36","0.22","2.07","1.22","0.75","1.96","4.04"
"ONDREJ PALAT","","L","N.J","55","15","31","1","26","20","111","82","42","124","235","0.27","0.56","0.02","0.47","0.36","2.02","1.49","0.76","2.25","4.27"
"ROOPE HINTZ","","C","DAL","41","15","28","13","4","18","92","52","15","67","159","0.37","0.68","0.32","0.10","0.44","2.24","1.27","0.37","1.63","3.88"
"BRANDON SAAD","","L","STL","44","15","9","1","12","3","68","16","10","26","94","0.34","0.20","0.02","0.27","0.07","1.55","0.36","0.23","0.59","2.14"
"PIUS SUTER","","C","DET","55","14","13","-5","14","3","112","28","34","62","174","0.25","0.24","-0.09","0.25","0.05","2.04","0.51","0.62","1.13","3.16"
"PATRIC HORNQVIST","","R","FLA","44","14","18","-3","39","12","145","80","23","103","248","0.32","0.41","-0.07","0.89","0.27","3.30","1.82","0.52","2.34","5.64"
"JORDAN KYROU","","R","STL","55","14","21","1","12","3","98","7","13","20","118","0.25","0.38","0.02","0.22","0.05","1.78","0.13","0.24","0.36","2.15"
"MARTIN NECAS","","R","CAR","53","14","27","25","10","11","114","45","32","77","191","0.26","0.51","0.47","0.19","0.21","2.15","0.85","0.60","1.45","3.60"
"JARED MCCANN","","L","SEA","43","14","18","17","8","10","93","40","17","57","150","0.33","0.42","0.40","0.19","0.23","2.16","0.93","0.40","1.33","3.49"
"ADRIAN KEMPE","","R","L.A","56","14","15","-18","28","14","127","47","21","68","195","0.25","0.27","-0.32","0.50","0.25","2.27","0.84","0.38","1.21","3.48"
"JEAN-GABRIEL PAGEAU","","C","NYI","54","14","14","10","10","8","81","111","58","169","250","0.26","0.26","0.19","0.19","0.15","1.50","2.06","1.07","3.13","4.63"
"WILLIAM KARLSSON","","C","VGK","56","14","25","19","4","8","111","29","29","58","169","0.25","0.45","0.34","0.07","0.14","1.98","0.52","0.52","1.04","3.02"
"BLAKE COLEMAN","","R","CGY","55","14","17","15","37","1","122","109","20","129","251","0.25","0.31","0.27","0.67","0.02","2.22","1.98","0.36","2.35","4.56"
"CHANDLER STEPHENSON","","C","VGK","51","14","21","22","29","5","83","43","35","78","161","0.27","0.41","0.43","0.57","0.10","1.63","0.84","0.69","1.53","3.16"
"CONOR SHEARY","","R","WSH","53","14","8","-1","14","3","88","24","20","44","132","0.26","0.15","-0.02","0.26","0.06","1.66","0.45","0.38","0.83","2.49"
"RYAN STROME","","C","ANA","56","14","35","6","39","18","128","22","18","40","168","0.25","0.63","0.11","0.70","0.32","2.29","0.39","0.32","0.71","3.00"
"BRENDAN GALLAGHER","","R","MTL","35","14","9","10","16","3","106","46","12","58","164","0.40","0.26","0.29","0.46","0.09","3.03","1.31","0.34","1.66","4.69"
"CLAYTON KELLER","","L","ARI","56","14","21","-5","18","10","124","20","14","34","158","0.25","0.38","-0.09","0.32","0.18","2.21","0.36","0.25","0.61","2.82"
"REILLY SMITH","","R","VGK","53","14","11","10","18","5","124","46","20","66","190","0.26","0.21","0.19","0.34","0.09","2.34","0.87","0.38","1.25","3.58"
"PAUL STASTNY","","C","","56","13","16","-3","32","8","101","38","19","57","158","0.23","0.29","-0.05","0.57","0.14","1.80","0.68","0.34","1.02","2.82"
"ANZE KOPITAR","","C","L.A","56","13","37","-7","10","23","118","45","37","82","200","0.23","0.66","-0.13","0.18","0.41","2.11","0.80","0.66","1.46","3.57"
"TOM WILSON","","R","WSH","47","13","20","1","96","8","83","104","25","129","212","0.28","0.43","0.02","2.04","0.17","1.77","2.21","0.53","2.74","4.51"
"NILS HOGLANDER","","L","VAN","56","13","14","-4","16","1","118","26","19","45","163","0.23","0.25","-0.07","0.29","0.02","2.11","0.46","0.34","0.80","2.91"
"VICTOR OLOFSSON","","R","BUF","56","13","19","-23","6","15","129","17","12","29","158","0.23","0.34","-0.41","0.11","0.27","2.30","0.30","0.21","0.52","2.82"
"ALEX IAFALLO","","L","L.A","55","13","17","-8","4","8","118","26","39","65","183","0.24","0.31","-0.15","0.07","0.15","2.15","0.47","0.71","1.18","3.33"
"DANIEL SPRONG","","R","","42","13","7","7","12","0","74","28","1","29","103","0.31","0.17","0.17","0.29","0.00","1.76","0.67","0.02","0.69","2.45"
"CRAIG SMITH","","R","BOS","54","13","19","21","18","6","132","66","8","74","206","0.24","0.35","0.39","0.33","0.11","2.44","1.22","0.15","1.37","3.81"
"EVGENII DADONOV","","R","MTL","55","13","7","-9","4","1","89","38","26","64","153","0.24","0.13","-0.16","0.07","0.02","1.62","0.69","0.47","1.16","2.78"
"MIKAEL GRANLUND","","C","NSH","51","13","14","-1","14","7","74","46","42","88","162","0.25","0.27","-0.02","0.27","0.14","1.45","0.90","0.82","1.73","3.18"
"CALLE JARNKROK","","C","","49","13","15","13","14","8","91","30","15","45","136","0.27","0.31","0.27","0.29","0.16","1.86","0.61","0.31","0.92","2.78"
"KEVIN HAYES","","C","PHI","55","12","19","-2","22","9","127","60","14","74","201","0.22","0.35","-0.04","0.40","0.16","2.31","1.09","0.25","1.35","3.65"
"JEFF PETRY","","D","PIT","55","12","30","6","20","15","128","97","60","157","285","0.22","0.55","0.11","0.36","0.27","2.33","1.76","1.09","2.85","5.18"
"MASON APPLETON","","R","WPG","56","12","13","11","14","0","88","61","22","83","171","0.21","0.23","0.20","0.25","0.00","1.57","1.09","0.39","1.48","3.05"
"FILIP FORSBERG","","L","NSH","39","12","20","-9","16","13","129","47","14","61","190","0.31","0.51","-0.23","0.41","0.33","3.31","1.21","0.36","1.56","4.87"
"KEVIN LABANC","","R","S.J","55","12","16","-9","31","3","129","61","15","76","205","0.22","0.29","-0.16","0.56","0.05","2.35","1.11","0.27","1.38","3.73"
"CONOR GARLAND","","L","VAN","49","12","27","-3","26","10","135","26","19","45","180","0.24","0.55","-0.06","0.53","0.20","2.76","0.53","0.39","0.92","3.67"
"OLIVER WAHLSTROM","","R","NYI","44","12","9","2","21","10","94","57","14","71","165","0.27","0.20","0.05","0.48","0.23","2.14","1.30","0.32","1.61","3.75"
"TIMO MEIER","","L","S.J","54","12","19","-7","22","10","155","75","24","99","254","0.22","0.35","-0.13","0.41","0.19","2.87","1.39","0.44","1.83","4.70"
"DENIS GURIANOV","","R","DAL","55","12","18","0","21","8","130","63","12","75","205","0.22","0.33","0.00","0.38","0.15","2.36","1.15","0.22","1.36","3.73"
"TIM STUTZLE","","L","OTT","53","12","17","-18","14","9","111","50","15","65","176","0.23","0.32","-0.34","0.26","0.17","2.09","0.94","0.28","1.23","3.32"
"ALEXIS LAFRENIERE","","L","NYR","56","12","9","-7","8","0","67","43","11","54","121","0.21","0.16","-0.13","0.14","0.00","1.20","0.77","0.20","0.96","2.16"
"ADAM HENRIQUE","","L","ANA","45","12","9","-8","11","2","77","40","32","72","149","0.27","0.20","-0.18","0.24","0.04","1.71","0.89","0.71","1.60","3.31"
"JACK ROSLOVIC","","C","CBJ","48","12","22","-11","14","10","85","34","22","56","141","0.25","0.46","-0.23","0.29","0.21","1.77","0.71","0.46","1.17","2.94"
"PATRIK LAINE","","R","CBJ","46","12","12","-28","25","7","82","36","15","51","133","0.26","0.26","-0.61","0.54","0.15","1.78","0.78","0.33","1.11","2.89"
"ANDERS LEE","","L","NYI","27","12","7","11","12","4","80","39","13","52","132","0.44","0.26","0.41","0.44","0.15","2.96","1.44","0.48","1.93","4.89"
"COLIN BLACKWELL","","C","CHI","47","12","10","2","15","5","64","45","19","64","128","0.26","0.21","0.04","0.32","0.11","1.36","0.96","0.40","1.36","2.72"
"MATHIEU JOSEPH","","R","OTT","56","12","7","3","10","2","59","82","15","97","156","0.21","0.13","0.05","0.18","0.04","1.05","1.46","0.27","1.73","2.79"
"TRAVIS KONECNY","","R","PHI","50","11","23","-5","26","11","100","55","16","71","171","0.22","0.46","-0.10","0.52","0.22","2.00","1.10","0.32","1.42","3.42"
"EELI TOLVANEN","","L","NSH","40","11","11","-10","4","12","65","78","16","94","159","0.28","0.28","-0.25","0.10","0.30","1.63","1.95","0.40","2.35","3.98"
"DILLON DUBE","","L","CGY","51","11","11","-1","20","2","84","59","14","73","157","0.22","0.22","-0.02","0.39","0.04","1.65","1.16","0.27","1.43","3.08"
"MARCUS FOLIGNO","","R","MIN","39","11","15","19","49","0","40","109","17","126","166","0.28","0.38","0.49","1.26","0.00","1.03","2.79","0.44","3.23","4.26"
"KASPERI KAPANEN","","R","PIT","40","11","19","15","7","4","68","41","8","49","117","0.28","0.48","0.38","0.18","0.10","1.70","1.03","0.20","1.23","2.93"
"ADAM ERNE","","L","DET","45","11","9","-1","26","6","71","82","16","98","169","0.24","0.20","-0.02","0.58","0.13","1.58","1.82","0.36","2.18","3.76"
"NICO STURM","","C","S.J","50","11","6","10","17","0","64","48","26","74","138","0.22","0.12","0.20","0.34","0.00","1.28","0.96","0.52","1.48","2.76"
"JAMIE BENN","","C","DAL","52","11","24","13","33","9","124","73","27","100","224","0.21","0.46","0.25","0.63","0.17","2.38","1.40","0.52","1.92","4.31"
"NIC DOWD","","C","WSH","56","11","4","4","31","0","68","109","40","149","217","0.20","0.07","0.07","0.55","0.00","1.21","1.95","0.71","2.66","3.88"
"MATS ZUCCARELLO","","R","MIN","42","11","24","9","8","6","74","12","19","31","105","0.26","0.57","0.21","0.19","0.14","1.76","0.29","0.45","0.74","2.50"
"JACK HUGHES","","C","N.J","56","11","20","-3","16","7","142","15","15","30","172","0.20","0.36","-0.05","0.29","0.13","2.54","0.27","0.27","0.54","3.07"
"MATTIAS JANMARK","","L","EDM","56","11","13","-12","10","7","96","26","14","40","136","0.20","0.23","-0.21","0.18","0.13","1.71","0.46","0.25","0.71","2.43"
"AARON EKBLAD","","D","FLA","35","11","11","5","33","11","101","24","27","51","152","0.31","0.31","0.14","0.94","0.31","2.89","0.69","0.77","1.46","4.34"
"NAZEM KADRI","","C","","56","11","21","-7","34","9","170","36","19","55","225","0.20","0.38","-0.13","0.61","0.16","3.04","0.64","0.34","0.98","4.02"
"MILAN LUCIC","","L","CGY","56","10","13","-8","46","2","74","139","12","151","225","0.18","0.23","-0.14","0.82","0.04","1.32","2.48","0.21","2.70","4.02"
"KYLE PALMIERI","","R","NYI","51","10","11","-5","20","6","115","62","12","74","189","0.20","0.22","-0.10","0.39","0.12","2.25","1.22","0.24","1.45","3.71"
