"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"AUSTON MATTHEWS","","C","TOR","52","41","25","21","10","13","222","57","47","104","326","0.79","0.48","0.40","0.19","0.25","4.27","1.10","0.90","2.00","6.27"
"CONNOR MCDAVID","","C","EDM","56","33","72","21","20","37","200","61","24","85","285","0.59","1.29","0.38","0.36","0.66","3.57","1.09","0.43","1.52","5.09"
"ALEX DEBRINCAT","","L","OTT","52","32","24","3","12","18","155","70","22","92","247","0.62","0.46","0.06","0.23","0.35","2.98","1.35","0.42","1.77","4.75"
"LEON DRAISAITL","","L","EDM","56","31","53","29","24","32","168","37","12","49","217","0.55","0.95","0.52","0.43","0.57","3.00","0.66","0.21","0.88","3.88"
"MIKKO RANTANEN","","R","COL","52","30","36","30","34","24","177","26","20","46","223","0.58","0.69","0.58","0.65","0.46","3.40","0.50","0.38","0.88","4.29"
"BRAD MARCHAND","","L","BOS","53","29","40","26","46","18","143","66","11","77","220","0.55","0.75","0.49","0.87","0.34","2.70","1.25","0.21","1.45","4.15"
"TYLER TOFFOLI","","R","CGY","52","28","16","0","24","10","158","75","12","87","245","0.54","0.31","0.00","0.46","0.19","3.04","1.44","0.23","1.67","4.71"
"KIRILL KAPRIZOV","","L","MIN","55","27","24","10","16","13","157","29","18","47","204","0.49","0.44","0.18","0.29","0.24","2.85","0.53","0.33","0.85","3.71"
"ALEKSANDER BARKOV","","C","FLA","50","26","32","12","14","19","176","31","37","68","244","0.52","0.64","0.24","0.28","0.38","3.52","0.62","0.74","1.36","4.88"
"KYLE CONNOR","","L","WPG","56","26","24","-4","12","13","166","18","18","36","202","0.46","0.43","-0.07","0.21","0.23","2.96","0.32","0.32","0.64","3.61"
"SAM REINHART","","R","FLA","54","25","15","-28","10","16","130","15","27","42","172","0.46","0.28","-0.52","0.19","0.30","2.41","0.28","0.50","0.78","3.19"
"JOE PAVELSKI","","R","DAL","56","25","26","22","16","21","139","64","39","103","242","0.45","0.46","0.39","0.29","0.38","2.48","1.14","0.70","1.84","4.32"
"MIKA ZIBANEJAD","","C","NYR","56","24","26","2","18","14","171","75","44","119","290","0.43","0.46","0.04","0.32","0.25","3.05","1.34","0.79","2.13","5.18"
"MAX PACIORETTY","","L","CAR","48","24","27","20","14","12","174","33","29","62","236","0.50","0.56","0.42","0.29","0.25","3.63","0.69","0.60","1.29","4.92"
"RYAN O'REILLY","","C","STL","56","24","30","26","18","12","129","24","26","50","179","0.43","0.54","0.46","0.32","0.21","2.30","0.43","0.46","0.89","3.20"
"SIDNEY CROSBY","","C","PIT","55","24","38","8","26","22","159","44","28","72","231","0.44","0.69","0.15","0.47","0.40","2.89","0.80","0.51","1.31","4.20"
"SEBASTIAN AHO","","C","CAR","56","24","33","16","32","18","148","38","25","63","211","0.43","0.59","0.29","0.57","0.32","2.64","0.68","0.45","1.13","3.77"
"ALEX OVECHKIN","","L","WSH","45","24","18","-7","12","17","182","98","23","121","303","0.53","0.40","-0.16","0.27","0.38","4.04","2.18","0.51","2.69","6.73"
"BROCK BOESER","","R","VAN","56","23","26","-3","16","14","141","32","20","52","193","0.41","0.46","-0.05","0.29","0.25","2.52","0.57","0.36","0.93","3.45"
"BRAYDEN POINT","","C","T.B","56","23","25","2","11","15","131","23","18","41","172","0.41","0.45","0.04","0.20","0.27","2.34","0.41","0.32","0.73","3.07"
"PATRICE BERGERON","","C","BOS","54","23","25","27","16","13","182","49","36","85","267","0.43","0.46","0.50","0.30","0.24","3.37","0.91","0.67","1.57","4.94"
"JAKE GUENTZEL","","L","PIT","56","23","34","7","28","18","141","43","32","75","216","0.41","0.61","0.13","0.50","0.32","2.52","0.77","0.57","1.34","3.86"
"BRYAN RUST","","R","PIT","56","22","20","9","18","11","154","62","30","92","246","0.39","0.36","0.16","0.32","0.20","2.75","1.11","0.54","1.64","4.39"
"EVANDER KANE","","L","EDM","56","22","27","-1","42","7","194","97","22","119","313","0.39","0.48","-0.02","0.75","0.13","3.46","1.73","0.39","2.13","5.59"
"T.J. OSHIE","","R","WSH","53","22","21","-3","18","17","106","70","27","97","203","0.42","0.40","-0.06","0.34","0.32","2.00","1.32","0.51","1.83","3.83"
"NIKOLAJ EHLERS","","L","WPG","47","21","25","15","15","13","148","26","12","38","186","0.45","0.53","0.32","0.32","0.28","3.15","0.55","0.26","0.81","3.96"
"CONNOR BROWN","","R","WSH","56","21","14","1","12","4","123","22","30","52","175","0.38","0.25","0.02","0.21","0.07","2.20","0.39","0.54","0.93","3.13"
"MARK SCHEIFELE","","C","WPG","56","21","42","-4","12","17","126","31","38","69","195","0.38","0.75","-0.07","0.21","0.30","2.25","0.55","0.68","1.23","3.48"
"MARK STONE","","R","VGK","55","21","40","26","28","17","98","31","33","64","162","0.38","0.73","0.47","0.51","0.31","1.78","0.56","0.60","1.16","2.95"
"CHRIS KREIDER","","L","NYR","50","20","10","-1","34","14","102","115","35","150","252","0.40","0.20","-0.02","0.68","0.28","2.04","2.30","0.70","3.00","5.04"
"KEVIN FIALA","","L","L.A","50","20","20","-2","43","14","162","27","13","40","202","0.40","0.40","-0.04","0.86","0.28","3.24","0.54","0.26","0.80","4.04"
"PHIL KESSEL","","R","","56","20","23","-17","12","13","115","8","9","17","132","0.36","0.41","-0.30","0.21","0.23","2.05","0.14","0.16","0.30","2.36"
"GABRIEL LANDESKOG","","L","COL","54","20","32","14","34","15","155","81","28","109","264","0.37","0.59","0.26","0.63","0.28","2.87","1.50","0.52","2.02","4.89"
"JOEL FARABEE","","C","PHI","55","20","18","0","28","7","122","48","21","69","191","0.36","0.33","0.00","0.51","0.13","2.22","0.87","0.38","1.25","3.47"
"DAVID PASTRNAK","","R","BOS","48","20","28","10","24","14","176","35","13","48","224","0.42","0.58","0.21","0.50","0.29","3.67","0.73","0.27","1.00","4.67"
"MITCHELL MARNER","","R","TOR","55","20","47","21","20","14","156","23","41","64","220","0.36","0.85","0.38","0.36","0.25","2.84","0.42","0.75","1.16","4.00"
"NATHAN MACKINNON","","C","COL","48","20","45","22","37","25","206","38","15","53","259","0.42","0.94","0.46","0.77","0.52","4.29","0.79","0.31","1.10","5.40"
"JONATHAN HUBERDEAU","","L","FLA","55","20","41","12","36","24","122","51","11","62","184","0.36","0.75","0.22","0.65","0.44","2.22","0.93","0.20","1.13","3.35"
"NINO NIEDERREITER","","L","","56","20","14","20","29","5","126","68","17","85","211","0.36","0.25","0.36","0.52","0.09","2.25","1.21","0.30","1.52","3.77"
"PAVEL BUCHNEVICH","","L","STL","54","20","28","12","42","8","120","49","29","78","198","0.37","0.52","0.22","0.78","0.15","2.22","0.91","0.54","1.44","3.67"
"ANDRE BURAKOVSKY","","L","SEA","53","19","25","4","10","14","102","22","16","38","140","0.36","0.47","0.08","0.19","0.26","1.92","0.42","0.30","0.72","2.64"
"JAKUB VRANA","","L","DET","50","19","17","10","10","5","100","29","8","37","137","0.38","0.34","0.20","0.20","0.10","2.00","0.58","0.16","0.74","2.74"
"JOHNNY GAUDREAU","","L","CBJ","56","19","29","2","6","19","112","8","9","17","129","0.34","0.52","0.04","0.11","0.34","2.00","0.14","0.16","0.30","2.30"
"JOEL ERIKSSON EK","","C","MIN","56","19","11","16","20","2","119","105","37","142","261","0.34","0.20","0.29","0.36","0.04","2.13","1.88","0.66","2.54","4.66"
"ELIAS LINDHOLM","","C","CGY","56","19","28","10","22","16","130","53","34","87","217","0.34","0.50","0.18","0.39","0.29","2.32","0.95","0.61","1.55","3.88"
"JOHN TAVARES","","C","TOR","56","19","31","12","14","12","163","51","28","79","242","0.34","0.55","0.21","0.25","0.21","2.91","0.91","0.50","1.41","4.32"
"DAVID PERRON","","R","DET","56","19","39","6","22","21","151","45","25","70","221","0.34","0.70","0.11","0.39","0.38","2.70","0.80","0.45","1.25","3.95"
"BO HORVAT","","C","VAN","56","19","20","-6","23","11","131","64","38","102","233","0.34","0.36","-0.11","0.41","0.20","2.34","1.14","0.68","1.82","4.16"
"TOMAS HERTL","","C","S.J","50","19","24","1","27","10","112","39","39","78","190","0.38","0.48","0.02","0.54","0.20","2.24","0.78","0.78","1.56","3.80"
"BROCK NELSON","","C","NYI","56","18","15","-5","14","9","121","36","26","62","183","0.32","0.27","-0.09","0.25","0.16","2.16","0.64","0.46","1.11","3.27"
"FRANK VATRANO","","R","ANA","56","18","8","8","26","4","158","69","21","90","248","0.32","0.14","0.14","0.46","0.07","2.82","1.23","0.38","1.61","4.43"
"ANDREW MANGIAPANE","","L","CGY","56","18","14","1","24","5","91","51","33","84","175","0.32","0.25","0.02","0.43","0.09","1.63","0.91","0.59","1.50","3.13"
"JONATHAN MARCHESSAULT","","L","VGK","55","18","26","19","39","6","176","44","14","58","234","0.33","0.47","0.35","0.71","0.11","3.20","0.80","0.25","1.05","4.25"
"JAKOB CHYCHRUN","","D","ARI","56","18","23","-6","42","14","176","59","89","148","324","0.32","0.41","-0.11","0.75","0.25","3.14","1.05","1.59","2.64","5.79"
"ALEX TUCH","","R","BUF","55","18","15","16","28","4","142","52","36","88","230","0.33","0.27","0.29","0.51","0.07","2.58","0.95","0.65","1.60","4.18"
"OLIVER BJORKSTRAND","","R","CBJ","56","18","26","-15","23","6","143","42","30","72","215","0.32","0.46","-0.27","0.41","0.11","2.55","0.75","0.54","1.29","3.84"
"SEAN COUTURIER","","C","PHI","45","18","23","-4","8","10","120","34","22","56","176","0.40","0.51","-0.09","0.18","0.22","2.67","0.76","0.49","1.24","3.91"
"CARTER VERHAEGHE","","L","FLA","43","18","18","24","31","2","107","33","14","47","154","0.42","0.42","0.56","0.72","0.05","2.49","0.77","0.33","1.09","3.58"
"JEFF CARTER","","C","PIT","54","17","13","3","22","5","154","41","30","71","225","0.31","0.24","0.06","0.41","0.09","2.85","0.76","0.56","1.31","4.17"
"YANNI GOURDE","","C","SEA","56","17","19","10","44","6","118","51","21","72","190","0.30","0.34","0.18","0.79","0.11","2.11","0.91","0.38","1.29","3.39"
"PAVEL ZACHA","","C","BOS","50","17","18","-11","10","11","103","42","10","52","155","0.34","0.36","-0.22","0.20","0.22","2.06","0.84","0.20","1.04","3.10"
"JASON ROBERTSON","","L","DAL","51","17","28","13","16","6","127","28","13","41","168","0.33","0.55","0.25","0.31","0.12","2.49","0.55","0.25","0.80","3.29"
"BRADY TKACHUK","","L","OTT","56","17","19","-17","69","10","220","248","23","271","491","0.30","0.34","-0.30","1.23","0.18","3.93","4.43","0.41","4.84","8.77"
"ALEX WENNBERG","","C","SEA","56","17","12","6","8","6","82","29","36","65","147","0.30","0.21","0.11","0.14","0.11","1.46","0.52","0.64","1.16","2.63"
"STEVEN STAMKOS","","C","T.B","38","17","17","4","16","15","91","38","10","48","139","0.45","0.45","0.11","0.42","0.39","2.39","1.00","0.26","1.26","3.66"
"DRAKE BATHERSON","","R","OTT","56","17","17","-17","8","15","111","102","29","131","242","0.30","0.30","-0.30","0.14","0.27","1.98","1.82","0.52","2.34","4.32"
"DUSTIN BROWN","","R","","49","17","14","-3","18","11","129","85","10","95","224","0.35","0.29","-0.06","0.37","0.22","2.63","1.73","0.20","1.94","4.57"
"ARTEMI PANARIN","","L","NYR","42","17","41","14","6","18","106","13","7","20","126","0.40","0.98","0.33","0.14","0.43","2.52","0.31","0.17","0.48","3.00"
"JAMES VAN RIEMSDYK","","L","PHI","56","17","26","2","14","12","132","40","16","56","188","0.30","0.46","0.04","0.25","0.21","2.36","0.71","0.29","1.00","3.36"
"MATHEW BARZAL","","C","NYI","55","17","28","15","48","8","134","22","13","35","169","0.31","0.51","0.27","0.87","0.15","2.44","0.40","0.24","0.64","3.07"
"DOMINIK KUBALIK","","L","DET","56","17","21","-3","18","14","156","57","17","74","230","0.30","0.38","-0.05","0.32","0.25","2.79","1.02","0.30","1.32","4.11"
"JOSH ANDERSON","","R","MTL","52","17","7","-10","38","2","125","139","25","164","289","0.33","0.13","-0.19","0.73","0.04","2.40","2.67","0.48","3.15","5.56"
