"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"AUSTON MATTHEWS","","C","TOR","73","60","46","20","18","29","348","67","62","129","477","0.82","0.63","0.27","0.25","0.40","4.77","0.92","0.85","1.77","6.53"
"LEON DRAISAITL","","L","EDM","80","55","55","17","40","41","278","53","25","78","356","0.69","0.69","0.21","0.50","0.51","3.48","0.66","0.31","0.98","4.45"
"CHRIS KREIDER","","L","NYR","81","52","25","20","24","35","258","141","39","180","438","0.64","0.31","0.25","0.30","0.43","3.19","1.74","0.48","2.22","5.41"
"ALEX OVECHKIN","","L","WSH","77","50","40","8","18","29","334","155","25","180","514","0.65","0.52","0.10","0.23","0.38","4.34","2.01","0.32","2.34","6.68"
"KYLE CONNOR","","L","WPG","79","47","46","-1","4","27","317","32","23","55","372","0.59","0.58","-0.01","0.05","0.34","4.01","0.41","0.29","0.70","4.71"
"KIRILL KAPRIZOV","","L","MIN","81","47","61","27","34","31","289","73","29","102","391","0.58","0.75","0.33","0.42","0.38","3.57","0.90","0.36","1.26","4.83"
"CONNOR MCDAVID","","C","EDM","80","44","79","28","45","44","314","75","26","101","415","0.55","0.99","0.35","0.56","0.55","3.93","0.94","0.33","1.26","5.19"
"MATT DUCHENE","","R","NSH","78","43","43","6","38","29","228","31","28","59","287","0.55","0.55","0.08","0.49","0.37","2.92","0.40","0.36","0.76","3.68"
"STEVEN STAMKOS","","C","T.B","81","42","64","23","36","36","241","93","31","124","365","0.52","0.79","0.28","0.44","0.44","2.98","1.15","0.38","1.53","4.51"
"ELIAS LINDHOLM","","C","CGY","82","42","40","61","22","19","235","66","52","118","353","0.51","0.49","0.74","0.27","0.23","2.87","0.80","0.63","1.44","4.30"
"FILIP FORSBERG","","L","NSH","69","42","42","12","22","27","226","112","48","160","386","0.61","0.61","0.17","0.32","0.39","3.28","1.62","0.70","2.32","5.59"
"MATTHEW TKACHUK","","R","CGY","82","42","62","57","68","29","253","93","20","113","366","0.51","0.76","0.70","0.83","0.35","3.09","1.13","0.24","1.38","4.46"
"ALEX DEBRINCAT","","L","OTT","82","41","37","-13","19","28","270","101","35","136","406","0.50","0.45","-0.16","0.23","0.34","3.29","1.23","0.43","1.66","4.95"
"JASON ROBERTSON","","L","DAL","74","41","38","16","22","21","220","50","24","74","294","0.55","0.51","0.22","0.30","0.28","2.97","0.68","0.32","1.00","3.97"
"DAVID PASTRNAK","","R","BOS","72","40","37","13","20","26","312","63","14","77","389","0.56","0.51","0.18","0.28","0.36","4.33","0.88","0.19","1.07","5.40"
"JAKE GUENTZEL","","L","PIT","76","40","44","13","44","22","264","72","38","110","374","0.53","0.58","0.17","0.58","0.29","3.47","0.95","0.50","1.45","4.92"
"JOHNNY GAUDREAU","","L","CBJ","82","40","75","64","26","25","262","10","9","19","281","0.49","0.91","0.78","0.32","0.30","3.20","0.12","0.11","0.23","3.43"
"ALEKSANDER BARKOV","","C","FLA","67","39","49","36","18","26","214","50","42","92","306","0.58","0.73","0.54","0.27","0.39","3.19","0.75","0.63","1.37","4.57"
"TAGE THOMPSON","","C","BUF","78","38","30","-17","37","16","253","66","25","91","344","0.49","0.38","-0.22","0.47","0.21","3.24","0.85","0.32","1.17","4.41"
"ROOPE HINTZ","","C","DAL","80","37","35","15","28","24","213","82","53","135","348","0.46","0.44","0.19","0.35","0.30","2.66","1.03","0.66","1.69","4.35"
"SEBASTIAN AHO","","C","CAR","79","37","44","19","38","28","221","76","23","99","320","0.47","0.56","0.24","0.48","0.35","2.80","0.96","0.29","1.25","4.05"
"TROY TERRY","","R","ANA","75","37","30","-11","26","15","192","6","27","33","225","0.49","0.40","-0.15","0.35","0.20","2.56","0.08","0.36","0.44","3.00"
"BROCK NELSON","","C","NYI","72","37","22","-5","33","14","171","31","43","74","245","0.51","0.31","-0.07","0.46","0.19","2.38","0.43","0.60","1.03","3.40"
"MIKKO RANTANEN","","R","COL","75","36","56","35","56","35","254","58","43","101","355","0.48","0.75","0.47","0.75","0.47","3.39","0.77","0.57","1.35","4.73"
"ANDREW MANGIAPANE","","L","CGY","82","35","20","19","38","11","185","73","32","105","290","0.43","0.24","0.23","0.46","0.13","2.26","0.89","0.39","1.28","3.54"
"TIMO MEIER","","L","S.J","77","35","41","-4","54","18","326","162","61","223","549","0.45","0.53","-0.05","0.70","0.23","4.23","2.10","0.79","2.90","7.13"
"JOSH NORRIS","","C","OTT","66","35","20","-8","16","23","172","79","44","123","295","0.53","0.30","-0.12","0.24","0.35","2.61","1.20","0.67","1.86","4.47"
"ADRIAN KEMPE","","R","L.A","78","35","19","-2","46","16","247","111","28","139","386","0.45","0.24","-0.03","0.59","0.21","3.17","1.42","0.36","1.78","4.95"
"MITCHELL MARNER","","R","TOR","72","35","62","23","16","25","224","75","31","106","330","0.49","0.86","0.32","0.22","0.35","3.11","1.04","0.43","1.47","4.58"
"RYAN HARTMAN","","C","MIN","82","34","31","31","95","8","239","72","48","120","359","0.41","0.38","0.38","1.16","0.10","2.91","0.88","0.59","1.46","4.38"
"VLADIMIR TARASENKO","","R","STL","75","34","48","7","32","22","230","83","45","128","358","0.45","0.64","0.09","0.43","0.29","3.07","1.11","0.60","1.71","4.77"
"WILLIAM NYLANDER","","L","TOR","81","34","46","-9","16","31","256","19","30","49","305","0.42","0.57","-0.11","0.20","0.38","3.16","0.23","0.37","0.60","3.77"
"SAM REINHART","","R","FLA","78","33","49","25","13","31","186","49","30","79","265","0.42","0.63","0.32","0.17","0.40","2.38","0.63","0.38","1.01","3.40"
"JEFF SKINNER","","L","BUF","80","33","30","-14","42","11","262","29","20","49","311","0.41","0.38","-0.18","0.53","0.14","3.28","0.36","0.25","0.61","3.89"
"KEVIN FIALA","","L","L.A","82","33","52","23","52","17","262","52","21","73","335","0.40","0.63","0.28","0.63","0.21","3.20","0.63","0.26","0.89","4.09"
"J.T. MILLER","","C","VAN","80","32","67","14","47","38","206","172","56","228","434","0.40","0.84","0.18","0.59","0.48","2.58","2.15","0.70","2.85","5.43"
"NATHAN MACKINNON","","C","COL","65","32","56","22","42","27","299","68","39","107","406","0.49","0.86","0.34","0.65","0.42","4.60","1.05","0.60","1.65","6.25"
"BRAD MARCHAND","","L","BOS","70","32","48","16","92","27","242","78","20","98","340","0.46","0.69","0.23","1.31","0.39","3.46","1.11","0.29","1.40","4.86"
"ELIAS PETTERSSON","","C","VAN","80","32","36","2","12","27","192","49","43","92","284","0.40","0.45","0.03","0.15","0.34","2.40","0.61","0.54","1.15","3.55"
