"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"SIDNEY CROSBY","","C","PIT","69","31","53","19","32","30","208","50","37","87","295","0.45","0.77","0.28","0.46","0.43","3.01","0.72","0.54","1.26","4.28"
"BO HORVAT","","C","VAN","70","31","21","3","40","19","194","96","45","141","335","0.44","0.30","0.04","0.57","0.27","2.77","1.37","0.64","2.01","4.79"
"ANTHONY DUCLAIR","","R","FLA","74","31","27","19","30","21","167","38","16","54","221","0.42","0.36","0.26","0.41","0.28","2.26","0.51","0.22","0.73","2.99"
"DYLAN LARKIN","","C","DET","71","31","38","-17","47","13","212","76","28","104","316","0.44","0.54","-0.24","0.66","0.18","2.99","1.07","0.39","1.46","4.45"
"TOMAS HERTL","","C","S.J","82","30","34","-9","30","16","205","105","57","162","367","0.37","0.41","-0.11","0.37","0.20","2.50","1.28","0.70","1.98","4.48"
"ANDREI SVECHNIKOV","","L","CAR","78","30","39","20","79","22","249","189","15","204","453","0.38","0.50","0.26","1.01","0.28","3.19","2.42","0.19","2.62","5.81"
"JONATHAN HUBERDEAU","","L","FLA","80","30","85","35","54","38","222","99","28","127","349","0.38","1.06","0.44","0.68","0.48","2.78","1.24","0.35","1.59","4.36"
"GABRIEL LANDESKOG","","L","COL","51","30","29","27","78","15","150","94","34","128","278","0.59","0.57","0.53","1.53","0.29","2.94","1.84","0.67","2.51","5.45"
"TYLER BERTUZZI","","L","DET","68","30","32","-11","47","14","180","65","41","106","286","0.44","0.47","-0.16","0.69","0.21","2.65","0.96","0.60","1.56","4.21"
"JONATHAN MARCHESSAULT","","L","VGK","76","30","36","3","36","20","251","61","17","78","329","0.39","0.47","0.04","0.47","0.26","3.30","0.80","0.22","1.03","4.33"
"PAVEL BUCHNEVICH","","L","STL","73","30","46","29","32","19","199","57","15","72","271","0.41","0.63","0.40","0.44","0.26","2.73","0.78","0.21","0.99","3.71"
"BRADY TKACHUK","","L","OTT","79","30","37","-8","117","18","288","270","25","295","583","0.38","0.47","-0.10","1.48","0.23","3.65","3.42","0.32","3.73","7.38"
"MIKA ZIBANEJAD","","C","NYR","81","29","52","30","12","28","219","67","47","114","333","0.36","0.64","0.37","0.15","0.35","2.70","0.83","0.58","1.41","4.11"
"MARK SCHEIFELE","","C","WPG","67","29","41","-16","23","18","159","36","47","83","242","0.43","0.61","-0.24","0.34","0.27","2.37","0.54","0.70","1.24","3.61"
"NIKOLAJ EHLERS","","L","WPG","62","28","27","19","20","9","245","32","27","59","304","0.45","0.44","0.31","0.32","0.15","3.95","0.52","0.44","0.95","4.90"
"CLAYTON KELLER","","L","ARI","67","28","35","2","28","11","177","17","31","48","225","0.42","0.52","0.03","0.42","0.16","2.64","0.25","0.46","0.72","3.36"
"BRAYDEN POINT","","C","T.B","66","28","30","-5","33","22","175","75","27","102","277","0.42","0.45","-0.08","0.50","0.33","2.65","1.14","0.41","1.55","4.20"
"PIERRE-LUC DUBOIS","","C","WPG","81","28","32","-6","106","18","233","112","43","155","388","0.35","0.40","-0.07","1.31","0.22","2.88","1.38","0.53","1.91","4.79"
"OLIVER BJORKSTRAND","","R","CBJ","80","28","29","-35","16","19","215","85","31","116","331","0.35","0.36","-0.44","0.20","0.24","2.69","1.06","0.39","1.45","4.14"
"CALE MAKAR","","D","COL","77","28","58","48","26","34","240","95","110","205","445","0.36","0.75","0.62","0.34","0.44","3.12","1.23","1.43","2.66","5.78"
"NAZEM KADRI","","C","","71","28","59","13","71","29","247","52","19","71","318","0.39","0.83","0.18","1.00","0.41","3.48","0.73","0.27","1.00","4.48"
"SAM BENNETT","","C","FLA","71","28","21","27","74","9","241","119","27","146","387","0.39","0.30","0.38","1.04","0.13","3.39","1.68","0.38","2.06","5.45"
"ANDERS LEE","","L","NYI","76","28","18","-11","34","13","159","94","30","124","283","0.37","0.24","-0.14","0.45","0.17","2.09","1.24","0.39","1.63","3.72"
"PHILLIP DANAULT","","C","L.A","79","27","24","14","38","4","194","74","49","123","317","0.34","0.30","0.18","0.48","0.05","2.46","0.94","0.62","1.56","4.01"
"JOE PAVELSKI","","R","DAL","82","27","54","11","14","25","216","104","69","173","389","0.33","0.66","0.13","0.17","0.30","2.63","1.27","0.84","2.11","4.74"
"DAVID PERRON","","R","DET","67","27","30","8","50","26","177","80","11","91","268","0.40","0.45","0.12","0.75","0.39","2.64","1.19","0.16","1.36","4.00"
"JARED MCCANN","","L","SEA","74","27","23","-25","33","17","199","65","29","94","293","0.36","0.31","-0.34","0.45","0.23","2.69","0.88","0.39","1.27","3.96"
"JOHN TAVARES","","C","TOR","79","27","49","-7","32","26","237","90","44","134","371","0.34","0.62","-0.09","0.41","0.33","3.00","1.14","0.56","1.70","4.70"
"JORDAN KYROU","","R","STL","74","27","48","10","20","19","188","6","23","29","217","0.36","0.65","0.14","0.27","0.26","2.54","0.08","0.31","0.39","2.93"
"ZACH HYMAN","","R","EDM","76","27","27","-9","36","10","213","74","31","105","318","0.36","0.36","-0.12","0.47","0.13","2.80","0.97","0.41","1.38","4.18"
"PATRIK LAINE","","R","CBJ","56","26","30","-7","24","14","167","34","13","47","214","0.46","0.54","-0.13","0.43","0.25","2.98","0.61","0.23","0.84","3.82"
"JACK HUGHES","","C","N.J","49","26","30","-16","0","14","165","6","15","21","186","0.53","0.61","-0.33","0.00","0.29","3.37","0.12","0.31","0.43","3.80"
"IVAN BARBASHEV","","L","STL","81","26","34","4","40","9","111","160","28","188","299","0.32","0.42","0.05","0.49","0.11","1.37","1.98","0.35","2.32","3.69"
"RYAN JOHANSEN","","C","NSH","79","26","37","-2","53","24","118","72","35","107","225","0.33","0.47","-0.03","0.67","0.30","1.49","0.91","0.44","1.35","2.85"
"JESPER BRATT","","R","N.J","76","26","47","0","16","18","197","26","30","56","253","0.34","0.62","0.00","0.21","0.24","2.59","0.34","0.39","0.74","3.33"
"BRANDON HAGEL","","L","T.B","77","26","18","-18","31","6","126","63","32","95","221","0.34","0.23","-0.23","0.40","0.08","1.64","0.82","0.42","1.23","2.87"
"PATRICK KANE","","R","CHI","78","26","65","-19","18","31","287","11","26","37","324","0.33","0.83","-0.24","0.23","0.40","3.68","0.14","0.33","0.47","4.15"
"JOEL ERIKSSON EK","","C","MIN","77","26","24","16","28","17","223","138","44","182","405","0.34","0.31","0.21","0.36","0.22","2.90","1.79","0.57","2.36","5.26"
"VALERI NICHUSHKIN","","R","COL","62","25","27","21","14","9","180","89","27","116","296","0.40","0.44","0.34","0.23","0.15","2.90","1.44","0.44","1.87","4.77"
"JAKE DEBRUSK","","R","BOS","77","25","17","6","10","4","184","62","25","87","271","0.32","0.22","0.08","0.13","0.05","2.39","0.81","0.32","1.13","3.52"
"PATRICE BERGERON","","C","BOS","73","25","40","25","32","23","293","78","45","123","416","0.34","0.55","0.34","0.44","0.32","4.01","1.07","0.62","1.68","5.70"
"ALEX KILLORN","","R","T.B","82","25","34","0","66","14","164","88","26","114","278","0.30","0.41","0.00","0.80","0.17","2.00","1.07","0.32","1.39","3.39"
"NIKITA KUCHEROV","","R","T.B","47","25","44","0","22","30","156","32","7","39","195","0.53","0.94","0.00","0.47","0.64","3.32","0.68","0.15","0.83","4.15"
"TYLER SEGUIN","","R","DAL","81","24","25","-21","30","13","218","96","33","129","347","0.30","0.31","-0.26","0.37","0.16","2.69","1.19","0.41","1.59","4.28"
"NINO NIEDERREITER","","L","","75","24","20","29","34","5","144","119","17","136","280","0.32","0.27","0.39","0.45","0.07","1.92","1.59","0.23","1.81","3.73"
"TOM WILSON","","R","WSH","78","24","28","13","98","10","151","240","55","295","446","0.31","0.36","0.17","1.26","0.13","1.94","3.08","0.71","3.78","5.72"
"CARTER VERHAEGHE","","L","FLA","78","24","31","24","48","3","166","50","16","66","232","0.31","0.40","0.31","0.62","0.04","2.13","0.64","0.21","0.85","2.97"
"BRYAN RUST","","R","PIT","60","24","34","7","14","21","180","43","24","67","247","0.40","0.57","0.12","0.23","0.35","3.00","0.72","0.40","1.12","4.12"
"JAMES VAN RIEMSDYK","","L","PHI","82","24","14","-32","25","9","186","34","25","59","245","0.29","0.17","-0.39","0.30","0.11","2.27","0.41","0.30","0.72","2.99"
"MATS ZUCCARELLO","","R","MIN","70","24","55","21","24","28","159","36","33","69","228","0.34","0.79","0.30","0.34","0.40","2.27","0.51","0.47","0.99","3.26"
"YEGOR SHARANGOVICH","","L","N.J","76","24","22","-13","23","3","167","30","26","56","223","0.32","0.29","-0.17","0.30","0.04","2.20","0.39","0.34","0.74","2.93"
"BRANDON SAAD","","L","STL","78","24","25","11","10","13","158","20","20","40","198","0.31","0.32","0.14","0.13","0.17","2.03","0.26","0.26","0.51","2.54"
"TANNER JEANNOT","","R","NSH","81","24","17","2","130","3","124","318","64","382","506","0.30","0.21","0.02","1.60","0.04","1.53","3.93","0.79","4.72","6.25"
"BRAYDEN SCHENN","","C","STL","62","24","34","21","33","17","111","119","17","136","247","0.39","0.55","0.34","0.53","0.27","1.79","1.92","0.27","2.19","3.98"
"EVGENY KUZNETSOV","","C","WSH","79","24","54","6","44","27","208","42","25","67","275","0.30","0.68","0.08","0.56","0.34","2.63","0.53","0.32","0.85","3.48"
"LOGAN COUTURE","","C","S.J","77","23","33","-11","18","17","199","92","58","150","349","0.30","0.43","-0.14","0.23","0.22","2.58","1.19","0.75","1.95","4.53"
"LUCAS RAYMOND","","R","DET","82","23","34","-32","16","18","184","62","24","86","270","0.28","0.41","-0.39","0.20","0.22","2.24","0.76","0.29","1.05","3.29"
"MICHAEL BUNTING","","L","TOR","79","23","40","28","80","5","175","85","21","106","281","0.29","0.51","0.35","1.01","0.06","2.22","1.08","0.27","1.34","3.56"
"COLE CAUFIELD","","L","MTL","67","23","20","-24","10","13","188","18","7","25","213","0.34","0.30","-0.36","0.15","0.19","2.81","0.27","0.10","0.37","3.18"
"BROCK BOESER","","R","VAN","71","23","23","-6","20","17","195","35","26","61","256","0.32","0.32","-0.08","0.28","0.24","2.75","0.49","0.37","0.86","3.61"
"CAM ATKINSON","","R","PHI","73","23","27","-2","10","5","215","20","45","65","280","0.32","0.37","-0.03","0.14","0.07","2.95","0.27","0.62","0.89","3.84"
"MARCUS FOLIGNO","","R","MIN","74","23","19","25","112","7","98","238","42","280","378","0.31","0.26","0.34","1.51","0.09","1.32","3.22","0.57","3.78","5.11"
"BOONE JENNER","","C","CBJ","59","23","21","-12","22","10","160","80","56","136","296","0.39","0.36","-0.20","0.37","0.17","2.71","1.36","0.95","2.31","5.02"
"TREVOR ZEGRAS","","C","ANA","75","23","38","-21","50","17","181","56","27","83","264","0.31","0.51","-0.28","0.67","0.23","2.41","0.75","0.36","1.11","3.52"
"NICK SCHMALTZ","","R","ARI","63","23","36","1","14","8","123","15","28","43","166","0.37","0.57","0.02","0.22","0.13","1.95","0.24","0.44","0.68","2.63"
"ROMAN JOSI","","D","NSH","80","23","73","13","46","37","281","66","133","199","480","0.29","0.91","0.16","0.58","0.46","3.51","0.83","1.66","2.49","6.00"
"EVANDER KANE","","L","EDM","43","22","17","25","60","4","152","135","11","146","298","0.51","0.40","0.58","1.40","0.09","3.53","3.14","0.26","3.40","6.93"
"ROSS COLTON","","L","T.B","79","22","17","3","24","6","159","153","36","189","348","0.28","0.22","0.04","0.30","0.08","2.01","1.94","0.46","2.39","4.41"
"ARTEMI PANARIN","","L","NYR","75","22","74","21","18","37","177","22","14","36","213","0.29","0.99","0.28","0.24","0.49","2.36","0.29","0.19","0.48","2.84"
"TEUVO TERAVAINEN","","L","CAR","77","22","43","22","24","31","202","15","30","45","247","0.29","0.56","0.29","0.31","0.40","2.62","0.19","0.39","0.58","3.21"
"ANDRE BURAKOVSKY","","L","SEA","80","22","39","12","18","11","149","49","34","83","232","0.28","0.49","0.15","0.23","0.14","1.86","0.61","0.43","1.04","2.90"
"TIM STUTZLE","","L","OTT","79","22","36","-27","37","27","176","125","52","177","353","0.28","0.46","-0.34","0.47","0.34","2.23","1.58","0.66","2.24","4.47"
"DYLAN STROME","","C","WSH","69","22","26","-6","28","16","126","11","33","44","170","0.32","0.38","-0.09","0.41","0.23","1.83","0.16","0.48","0.64","2.46"
"JACK ROSLOVIC","","C","CBJ","81","22","23","1","12","7","131","60","25","85","216","0.27","0.28","0.01","0.15","0.09","1.62","0.74","0.31","1.05","2.67"
"NICO HISCHIER","","C","N.J","70","21","39","-1","17","12","153","50","48","98","251","0.30","0.56","-0.01","0.24","0.17","2.19","0.71","0.69","1.40","3.59"
"CHANDLER STEPHENSON","","C","VGK","79","21","43","5","26","14","125","68","44","112","237","0.27","0.54","0.06","0.33","0.18","1.58","0.86","0.56","1.42","3.00"
"RYAN O'REILLY","","C","STL","78","21","37","11","12","16","168","20","38","58","226","0.27","0.47","0.14","0.15","0.21","2.15","0.26","0.49","0.74","2.90"
"NICK SUZUKI","","C","MTL","82","21","40","-29","30","20","186","89","62","151","337","0.26","0.49","-0.35","0.37","0.24","2.27","1.09","0.76","1.84","4.11"
"CLAUDE GIROUX","","R","OTT","75","21","43","-6","26","23","205","68","16","84","289","0.28","0.57","-0.08","0.35","0.31","2.73","0.91","0.21","1.12","3.85"
"PAUL STASTNY","","C","","71","21","24","15","14","8","141","27","27","54","195","0.30","0.34","0.21","0.20","0.11","1.99","0.38","0.38","0.76","2.75"
"JORDAN EBERLE","","R","SEA","79","21","23","-27","14","9","164","48","40","88","252","0.27","0.29","-0.34","0.18","0.11","2.08","0.61","0.51","1.11","3.19"
"VINCENT TROCHECK","","C","NYR","81","21","30","21","78","12","168","185","46","231","399","0.26","0.37","0.26","0.96","0.15","2.07","2.28","0.57","2.85","4.93"
"ANDREW COPP","","R","DET","72","21","32","16","16","10","183","45","41","86","269","0.29","0.44","0.22","0.22","0.14","2.54","0.63","0.57","1.19","3.74"
"RYAN STROME","","C","ANA","74","21","34","15","69","14","161","41","19","60","221","0.28","0.46","0.20","0.93","0.19","2.18","0.55","0.26","0.81","2.99"
"ILYA MIKHEYEV","","R","VAN","53","21","11","16","26","5","147","52","18","70","217","0.40","0.21","0.30","0.49","0.09","2.77","0.98","0.34","1.32","4.09"
"KYLE OKPOSO","","R","BUF","74","21","24","-15","43","14","174","59","19","78","252","0.28","0.32","-0.20","0.58","0.19","2.35","0.80","0.26","1.05","3.41"
"YANNI GOURDE","","C","SEA","74","21","27","-14","45","7","127","77","31","108","235","0.28","0.36","-0.19","0.61","0.09","1.72","1.04","0.42","1.46","3.18"
"ROBERT THOMAS","","C","STL","72","20","56","17","16","14","115","13","25","38","153","0.28","0.78","0.24","0.22","0.19","1.60","0.18","0.35","0.53","2.13"
"VICTOR HEDMAN","","D","T.B","82","20","65","25","36","38","218","94","129","223","441","0.24","0.79","0.30","0.44","0.46","2.66","1.15","1.57","2.72","5.38"
"VIKTOR ARVIDSSON","","R","L.A","66","20","28","1","22","8","227","23","45","68","295","0.30","0.42","0.02","0.33","0.12","3.44","0.35","0.68","1.03","4.47"
"TYLER TOFFOLI","","R","CGY","74","20","29","-5","14","16","195","81","24","105","300","0.27","0.39","-0.07","0.19","0.22","2.64","1.09","0.32","1.42","4.05"
"KAILER YAMAMOTO","","R","EDM","81","20","20","-1","40","6","114","114","36","150","264","0.25","0.25","-0.01","0.49","0.07","1.41","1.41","0.44","1.85","3.26"
"EVGENII DADONOV","","R","MTL","78","20","23","4","18","8","177","65","25","90","267","0.26","0.29","0.05","0.23","0.10","2.27","0.83","0.32","1.15","3.42"
"RICKARD RAKELL","","R","PIT","70","20","21","0","12","10","184","99","44","143","327","0.29","0.30","0.00","0.17","0.14","2.63","1.41","0.63","2.04","4.67"
"LAWSON CROUSE","","L","ARI","65","20","14","-9","52","7","131","181","36","217","348","0.31","0.22","-0.14","0.80","0.11","2.02","2.78","0.55","3.34","5.35"
"TAYLOR HALL","","L","BOS","81","20","41","11","42","15","217","55","36","91","308","0.25","0.51","0.14","0.52","0.19","2.68","0.68","0.44","1.12","3.80"
"VICTOR OLOFSSON","","R","BUF","72","20","29","-17","6","12","164","10","15","25","189","0.28","0.40","-0.24","0.08","0.17","2.28","0.14","0.21","0.35","2.63"
"EVGENI MALKIN","","C","PIT","41","20","22","-10","24","20","129","21","18","39","168","0.49","0.54","-0.24","0.59","0.49","3.15","0.51","0.44","0.95","4.10"
"ADAM HENRIQUE","","L","ANA","58","19","23","-2","14","11","141","22","47","69","210","0.33","0.40","-0.03","0.24","0.19","2.43","0.38","0.81","1.19","3.62"
"MAX PACIORETTY","","L","CAR","39","19","18","8","33","12","148","30","21","51","199","0.49","0.46","0.21","0.85","0.31","3.79","0.77","0.54","1.31","5.10"
"ALEXIS LAFRENIERE","","L","NYR","79","19","12","1","37","2","109","108","26","134","243","0.24","0.15","0.01","0.47","0.03","1.38","1.37","0.33","1.70","3.08"
"JOSH ANDERSON","","R","MTL","69","19","13","-25","65","3","151","153","35","188","339","0.28","0.19","-0.36","0.94","0.04","2.19","2.22","0.51","2.72","4.91"
"JEFF CARTER","","C","PIT","76","19","26","-8","38","6","200","99","50","149","349","0.25","0.34","-0.11","0.50","0.08","2.63","1.30","0.66","1.96","4.59"
"EVAN RODRIGUES","","R","","82","19","24","3","14","8","243","89","30","119","362","0.23","0.29","0.04","0.17","0.10","2.96","1.09","0.37","1.45","4.41"
"CONOR SHEARY","","R","WSH","71","19","24","-2","14","6","129","45","44","89","218","0.27","0.34","-0.03","0.20","0.08","1.82","0.63","0.62","1.25","3.07"
"CONOR GARLAND","","L","VAN","77","19","33","17","36","3","203","52","22","74","277","0.25","0.43","0.22","0.47","0.04","2.64","0.68","0.29","0.96","3.60"
"ARTTURI LEHKONEN","","L","COL","74","19","19","1","22","3","155","82","39","121","276","0.26","0.26","0.01","0.30","0.04","2.09","1.11","0.53","1.64","3.73"
"COREY PERRY","","R","T.B","82","19","21","9","66","8","153","73","28","101","254","0.23","0.26","0.11","0.80","0.10","1.87","0.89","0.34","1.23","3.10"
"ANZE KOPITAR","","C","L.A","81","19","48","-6","14","22","210","72","71","143","353","0.23","0.59","-0.07","0.17","0.27","2.59","0.89","0.88","1.77","4.36"
"GUSTAV NYQUIST","","L","CBJ","82","18","35","-12","26","10","122","41","51","92","214","0.22","0.43","-0.15","0.32","0.12","1.49","0.50","0.62","1.12","2.61"
"ONDREJ PALAT","","L","N.J","77","18","31","14","20","8","142","123","42","165","307","0.23","0.40","0.18","0.26","0.10","1.84","1.60","0.55","2.14","3.99"
"FRANK VATRANO","","R","ANA","71","18","14","4","22","2","161","68","26","94","255","0.25","0.20","0.06","0.31","0.03","2.27","0.96","0.37","1.32","3.59"
"JEAN-GABRIEL PAGEAU","","C","NYI","77","18","21","-1","30","7","126","171","53","224","350","0.23","0.27","-0.01","0.39","0.09","1.64","2.22","0.69","2.91","4.55"
"MASON MARCHMENT","","L","DAL","54","18","29","29","53","2","121","114","9","123","244","0.33","0.54","0.54","0.98","0.04","2.24","2.11","0.17","2.28","4.52"
"ALEX FORMENTON","","L","OTT","79","18","14","-13","59","0","162","101","24","125","287","0.23","0.18","-0.16","0.75","0.00","2.05","1.28","0.30","1.58","3.63"
"DILLON DUBE","","L","CGY","79","18","14","1","20","3","143","87","15","102","245","0.23","0.18","0.01","0.25","0.04","1.81","1.10","0.19","1.29","3.10"
"ANTON LUNDELL","","C","FLA","65","18","26","33","18","4","125","26","56","82","207","0.28","0.40","0.51","0.28","0.06","1.92","0.40","0.86","1.26","3.18"
"ERIK HAULA","","C","N.J","78","18","26","19","47","4","141","129","36","165","306","0.23","0.33","0.24","0.60","0.05","1.81","1.65","0.46","2.12","3.92"
"DANTON HEINEN","","L","","76","18","15","6","16","4","138","66","33","99","237","0.24","0.20","0.08","0.21","0.05","1.82","0.87","0.43","1.30","3.12"
"JAMIE BENN","","C","DAL","82","18","28","-13","88","11","182","143","60","203","385","0.22","0.34","-0.16","1.07","0.13","2.22","1.74","0.73","2.48","4.70"
"J.T. COMPHER","","C","COL","70","18","15","7","25","6","102","31","55","86","188","0.26","0.21","0.10","0.36","0.09","1.46","0.44","0.79","1.23","2.69"
"YAKOV TRENIN","","L","NSH","80","17","7","7","46","0","136","191","33","224","360","0.21","0.09","0.09","0.58","0.00","1.70","2.39","0.41","2.80","4.50"
"JOHN CARLSON","","D","WSH","78","17","54","13","20","25","195","73","112","185","380","0.22","0.69","0.17","0.26","0.32","2.50","0.94","1.44","2.37","4.87"
"ANTHONY CIRELLI","","C","T.B","76","17","26","14","70","8","146","75","67","142","288","0.22","0.34","0.18","0.92","0.11","1.92","0.99","0.88","1.87","3.79"
"BLAKE WHEELER","","R","WPG","65","17","43","-16","36","20","167","62","37","99","266","0.26","0.66","-0.25","0.55","0.31","2.57","0.95","0.57","1.52","4.09"
"JORDAN STAAL","","C","CAR","78","17","19","11","18","2","146","212","29","241","387","0.22","0.24","0.14","0.23","0.03","1.87","2.72","0.37","3.09","4.96"
