"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"KEVIN FIALA","","L","L.A","64","23","31","-1","42","18","175","25","18","43","218","0.36","0.48","-0.02","0.66","0.28","2.73","0.39","0.28","0.67","3.41"
"KEVIN HAYES","","C","PHI","69","23","18","-6","34","7","175","88","22","110","285","0.33","0.26","-0.09","0.49","0.10","2.54","1.28","0.32","1.59","4.13"
"JONATHAN HUBERDEAU","","L","FLA","69","23","55","5","30","29","152","51","26","77","229","0.33","0.80","0.07","0.43","0.42","2.20","0.74","0.38","1.12","3.32"
"MATTHEW TKACHUK","","R","CGY","69","23","38","-5","74","19","188","122","22","144","332","0.33","0.55","-0.07","1.07","0.28","2.72","1.77","0.32","2.09","4.81"
"BRENDAN GALLAGHER","","R","MTL","59","22","21","9","29","5","226","53","29","82","308","0.37","0.36","0.15","0.49","0.08","3.83","0.90","0.49","1.39","5.22"
"TIMO MEIER","","L","S.J","70","22","27","-22","42","9","199","155","38","193","392","0.31","0.39","-0.31","0.60","0.13","2.84","2.21","0.54","2.76","5.60"
"BLAKE WHEELER","","R","WPG","71","22","43","1","37","22","180","102","51","153","333","0.31","0.61","0.01","0.52","0.31","2.54","1.44","0.72","2.15","4.69"
"BO HORVAT","","C","VAN","69","22","31","-15","21","16","178","55","66","121","299","0.32","0.45","-0.22","0.30","0.23","2.58","0.80","0.96","1.75","4.33"
"SAM REINHART","","R","FLA","69","22","28","-15","20","12","144","36","27","63","207","0.32","0.41","-0.22","0.29","0.17","2.09","0.52","0.39","0.91","3.00"
"TOMAS TATAR","","L","N.J","68","22","39","5","36","14","162","79","24","103","265","0.32","0.57","0.07","0.53","0.21","2.38","1.16","0.35","1.51","3.90"
"SEAN COUTURIER","","C","PHI","69","22","37","21","30","13","185","60","26","86","271","0.32","0.54","0.30","0.43","0.19","2.68","0.87","0.38","1.25","3.93"
"RYAN NUGENT-HOPKINS","","C","EDM","65","22","39","1","33","24","172","33","44","77","249","0.34","0.60","0.02","0.51","0.37","2.65","0.51","0.68","1.18","3.83"
"JONATHAN MARCHESSAULT","","L","VGK","66","22","25","6","28","12","235","99","12","111","346","0.33","0.38","0.09","0.42","0.18","3.56","1.50","0.18","1.68","5.24"
"JADEN SCHWARTZ","","L","SEA","71","22","35","3","18","20","162","60","28","88","250","0.31","0.49","0.04","0.25","0.28","2.28","0.85","0.39","1.24","3.52"
"CONOR GARLAND","","L","VAN","68","22","17","1","20","10","158","26","20","46","204","0.32","0.25","0.01","0.29","0.15","2.32","0.38","0.29","0.68","3.00"
"SEAN MONAHAN","","C","CGY","70","22","26","-16","25","16","166","65","22","87","253","0.31","0.37","-0.23","0.36","0.23","2.37","0.93","0.31","1.24","3.61"
"TANNER PEARSON","","L","VAN","69","21","24","-4","27","10","164","96","40","136","300","0.30","0.35","-0.06","0.39","0.14","2.38","1.39","0.58","1.97","4.35"
"BLAKE COLEMAN","","R","CGY","66","21","11","0","56","3","200","191","46","237","437","0.32","0.17","0.00","0.85","0.05","3.03","2.89","0.70","3.59","6.62"
"ANZE KOPITAR","","C","L.A","70","21","41","6","16","21","135","49","56","105","240","0.30","0.59","0.09","0.23","0.30","1.93","0.70","0.80","1.50","3.43"
"OLIVER BJORKSTRAND","","R","CBJ","49","21","15","8","12","6","162","43","16","59","221","0.43","0.31","0.16","0.24","0.12","3.31","0.88","0.33","1.20","4.51"
"TOM WILSON","","R","WSH","68","21","23","-3","93","7","154","253","58","311","465","0.31","0.34","-0.04","1.37","0.10","2.26","3.72","0.85","4.57","6.84"
"TYLER BERTUZZI","","L","DET","71","21","27","-23","40","14","129","71","30","101","230","0.30","0.38","-0.32","0.56","0.20","1.82","1.00","0.42","1.42","3.24"
"GABRIEL LANDESKOG","","L","COL","54","21","23","-2","47","15","145","86","35","121","266","0.39","0.43","-0.04","0.87","0.28","2.69","1.59","0.65","2.24","4.93"
"FILIP FORSBERG","","L","NSH","63","21","27","-7","29","14","198","82","27","109","307","0.33","0.43","-0.11","0.46","0.22","3.14","1.30","0.43","1.73","4.87"
"BRADY TKACHUK","","L","OTT","71","21","23","-14","106","8","259","303","43","346","605","0.30","0.32","-0.20","1.49","0.11","3.65","4.27","0.61","4.87","8.52"
"CLAUDE GIROUX","","R","OTT","69","21","32","7","28","20","197","45","16","61","258","0.30","0.46","0.10","0.41","0.29","2.86","0.65","0.23","0.88","3.74"
"ZACH HYMAN","","R","EDM","51","21","16","13","23","6","106","52","23","75","181","0.41","0.31","0.25","0.45","0.12","2.08","1.02","0.45","1.47","3.55"
"MARK STONE","","R","VGK","65","21","42","15","27","17","168","56","51","107","275","0.32","0.65","0.23","0.42","0.26","2.58","0.86","0.78","1.65","4.23"
"JAKOB SILFVERBERG","","R","ANA","66","21","18","0","14","7","155","28","41","69","224","0.32","0.27","0.00","0.21","0.11","2.35","0.42","0.62","1.05","3.39"
"BRANDON SAAD","","L","STL","58","21","12","2","16","1","140","36","19","55","195","0.36","0.21","0.03","0.28","0.02","2.41","0.62","0.33","0.95","3.36"
"JASON ZUCKER","","L","PIT","60","20","21","-4","21","12","111","53","23","76","187","0.33","0.35","-0.07","0.35","0.20","1.85","0.88","0.38","1.27","3.12"
"ANDRE BURAKOVSKY","","L","SEA","58","20","25","11","22","11","103","26","34","60","163","0.34","0.43","0.19","0.38","0.19","1.78","0.45","0.59","1.03","2.81"
"ANDERS LEE","","L","NYI","68","20","23","8","47","7","195","102","50","152","347","0.29","0.34","0.12","0.69","0.10","2.87","1.50","0.74","2.24","5.10"
"JAKE GUENTZEL","","L","PIT","39","20","23","11","14","10","127","46","19","65","192","0.51","0.59","0.28","0.36","0.26","3.26","1.18","0.49","1.67","4.92"
"NOEL ACCIARI","","L","STL","66","20","7","2","21","0","108","121","103","224","332","0.30","0.11","0.03","0.32","0.00","1.64","1.83","1.56","3.39","5.03"
"ZACH WERENSKI","","D","CBJ","63","20","21","9","10","13","187","36","58","94","281","0.32","0.33","0.14","0.16","0.21","2.97","0.57","0.92","1.49","4.46"
"ALEKSANDER BARKOV","","C","FLA","66","20","42","2","18","20","172","21","35","56","228","0.30","0.64","0.03","0.27","0.30","2.61","0.32","0.53","0.85","3.45"
"VICTOR OLOFSSON","","R","BUF","54","20","22","-1","6","17","127","10","16","26","153","0.37","0.41","-0.02","0.11","0.31","2.35","0.19","0.30","0.48","2.83"
"DENIS GURIANOV","","R","DAL","64","20","9","5","13","12","132","63","18","81","213","0.31","0.14","0.08","0.20","0.19","2.06","0.98","0.28","1.27","3.33"
"DYLAN LARKIN","","C","DET","71","19","34","-21","39","14","223","52","45","97","320","0.27","0.48","-0.30","0.55","0.20","3.14","0.73","0.63","1.37","4.51"
"EVGENY KUZNETSOV","","C","WSH","63","19","33","-2","40","12","129","35","16","51","180","0.30","0.52","-0.03","0.63","0.19","2.05","0.56","0.25","0.81","2.86"
"ERIC STAAL","","C","","66","19","28","-9","28","14","113","24","22","46","159","0.29","0.42","-0.14","0.42","0.21","1.71","0.36","0.33","0.70","2.41"
"NAZEM KADRI","","C","","51","19","17","7","97","11","133","61","9","70","203","0.37","0.33","0.14","1.90","0.22","2.61","1.20","0.18","1.37","3.98"
"JAMES VAN RIEMSDYK","","L","PHI","66","19","21","5","8","9","151","25","18","43","194","0.29","0.32","0.08","0.12","0.14","2.29","0.38","0.27","0.65","2.94"
"BRETT CONNOLLY","","R","","69","19","14","-3","26","6","117","56","17","73","190","0.28","0.20","-0.04","0.38","0.09","1.70","0.81","0.25","1.06","2.75"
"MATHEW BARZAL","","C","NYI","68","19","41","5","44","12","171","22","43","65","236","0.28","0.60","0.07","0.65","0.18","2.51","0.32","0.63","0.96","3.47"
"ROOPE HINTZ","","C","DAL","60","19","14","3","16","14","120","73","28","101","221","0.32","0.23","0.05","0.27","0.23","2.00","1.22","0.47","1.68","3.68"
"MIKKO RANTANEN","","R","COL","42","19","22","-2","14","14","107","28","23","51","158","0.45","0.52","-0.05","0.33","0.33","2.55","0.67","0.55","1.21","3.76"
"JAKE DEBRUSK","","R","BOS","65","19","16","-1","14","10","161","35","15","50","211","0.29","0.25","-0.02","0.22","0.15","2.48","0.54","0.23","0.77","3.25"
"JAMES NEAL","","L","","55","19","12","-20","12","17","112","88","17","105","217","0.35","0.22","-0.36","0.22","0.31","2.04","1.60","0.31","1.91","3.95"
"JAMIE BENN","","C","DAL","69","19","20","-4","53","14","163","167","57","224","387","0.28","0.29","-0.06","0.77","0.20","2.36","2.42","0.83","3.25","5.61"
"ANTHONY BEAUVILLIER","","R","NYI","68","18","21","-11","15","7","132","86","36","122","254","0.26","0.31","-0.16","0.22","0.10","1.94","1.26","0.53","1.79","3.74"
"JAKE VIRTANEN","","R","","69","18","18","-4","41","9","150","102","28","130","280","0.26","0.26","-0.06","0.59","0.13","2.17","1.48","0.41","1.88","4.06"
"RYAN STROME","","C","ANA","70","18","41","21","48","17","154","45","32","77","231","0.26","0.59","0.30","0.69","0.24","2.20","0.64","0.46","1.10","3.30"
"CRAIG SMITH","","R","BOS","69","18","13","18","34","7","184","60","19","79","263","0.26","0.19","0.26","0.49","0.10","2.67","0.87","0.28","1.14","3.81"
"ALEX DEBRINCAT","","L","OTT","70","18","27","-10","15","16","207","58","19","77","284","0.26","0.39","-0.14","0.21","0.23","2.96","0.83","0.27","1.10","4.06"
"JOHNNY GAUDREAU","","L","CBJ","70","18","40","-10","12","18","209","1","11","12","221","0.26","0.57","-0.14","0.17","0.26","2.99","0.01","0.16","0.17","3.16"
"PIERRE-LUC DUBOIS","","C","WPG","70","18","31","-2","49","10","158","85","50","135","293","0.26","0.44","-0.03","0.70","0.14","2.26","1.21","0.71","1.93","4.19"
"JONATHAN TOEWS","","C","CHI","70","18","42","-2","48","8","172","56","35","91","263","0.26","0.60","-0.03","0.69","0.11","2.46","0.80","0.50","1.30","3.76"
"NICK BONINO","","L","S.J","67","18","17","17","16","1","104","17","89","106","210","0.27","0.25","0.25","0.24","0.01","1.55","0.25","1.33","1.58","3.13"
"CHRISTIAN DVORAK","","C","MTL","70","18","20","6","12","10","134","39","36","75","209","0.26","0.29","0.09","0.17","0.14","1.91","0.56","0.51","1.07","2.99"
"DUSTIN BROWN","","R","","66","17","18","-1","22","5","169","143","15","158","327","0.26","0.27","-0.02","0.33","0.08","2.56","2.17","0.23","2.39","4.95"
"TYLER SEGUIN","","R","DAL","69","17","33","-2","22","15","245","90","31","121","366","0.25","0.48","-0.03","0.32","0.22","3.55","1.30","0.45","1.75","5.30"
"PAUL STASTNY","","C","","71","17","21","6","24","10","136","63","32","95","231","0.24","0.30","0.08","0.34","0.14","1.92","0.89","0.45","1.34","3.25"
"JEFF CARTER","","C","PIT","60","17","10","-21","36","5","182","66","23","89","271","0.28","0.17","-0.35","0.60","0.08","3.03","1.10","0.38","1.48","4.52"
"CLAYTON KELLER","","L","ARI","70","17","27","-6","28","15","184","20","13","33","217","0.24","0.39","-0.09","0.40","0.21","2.63","0.29","0.19","0.47","3.10"
"MAX DOMI","","L","","71","17","27","-3","35","11","179","32","13","45","224","0.24","0.38","-0.04","0.49","0.15","2.52","0.45","0.18","0.63","3.15"
"VLADISLAV NAMESTNIKOV","","C","T.B","65","17","14","-5","45","4","98","108","47","155","253","0.26","0.22","-0.08","0.69","0.06","1.51","1.66","0.72","2.38","3.89"
"CARL SODERBERG","","C","","70","17","18","6","18","11","135","77","41","118","253","0.24","0.26","0.09","0.26","0.16","1.93","1.10","0.59","1.69","3.61"
"ONDREJ PALAT","","L","N.J","69","17","24","25","22","8","128","145","61","206","334","0.25","0.35","0.36","0.32","0.12","1.86","2.10","0.88","2.99","4.84"
"MIKAEL GRANLUND","","C","NSH","63","17","13","-4","28","6","130","42","55","97","227","0.27","0.21","-0.06","0.44","0.10","2.06","0.67","0.87","1.54","3.60"
"ALEX IAFALLO","","L","L.A","70","17","26","1","14","9","142","49","47","96","238","0.24","0.37","0.01","0.20","0.13","2.03","0.70","0.67","1.37","3.40"
"ANDREW MANGIAPANE","","L","CGY","68","17","15","4","18","1","109","73","25","98","207","0.25","0.22","0.06","0.26","0.01","1.60","1.07","0.37","1.44","3.04"
"PATRIC HORNQVIST","","R","FLA","52","17","15","9","36","7","168","107","41","148","316","0.33","0.29","0.17","0.69","0.13","3.23","2.06","0.79","2.85","6.08"
"SIDNEY CROSBY","","C","PIT","41","16","31","-8","15","17","109","28","17","45","154","0.39","0.76","-0.20","0.37","0.41","2.66","0.68","0.41","1.10","3.76"
"LARS ELLER","","C","WSH","69","16","23","3","48","6","151","59","44","103","254","0.23","0.33","0.04","0.70","0.09","2.19","0.86","0.64","1.49","3.68"
"MITCHELL MARNER","","R","TOR","59","16","51","6","16","24","154","24","37","61","215","0.27","0.86","0.10","0.27","0.41","2.61","0.41","0.63","1.03","3.64"
"TOMAS HERTL","","C","S.J","48","16","20","-18","16","7","117","29","25","54","171","0.33","0.42","-0.38","0.33","0.15","2.44","0.60","0.52","1.13","3.56"
"TAYLOR HALL","","L","BOS","65","16","36","-14","34","18","232","47","29","76","308","0.25","0.55","-0.22","0.52","0.28","3.57","0.72","0.45","1.17","4.74"
"JESPER BRATT","","R","N.J","60","16","16","-6","6","6","101","29","22","51","152","0.27","0.27","-0.10","0.10","0.10","1.68","0.48","0.37","0.85","2.53"
"PAVEL BUCHNEVICH","","L","STL","68","16","30","2","24","9","148","80","22","102","250","0.24","0.44","0.03","0.35","0.13","2.18","1.18","0.32","1.50","3.68"
"ROMAN JOSI","","D","NSH","69","16","49","22","41","23","260","52","108","160","420","0.23","0.71","0.32","0.59","0.33","3.77","0.75","1.57","2.32","6.09"
"MIKAEL BACKLUND","","C","CGY","70","16","29","3","26","10","157","44","11","55","212","0.23","0.41","0.04","0.37","0.14","2.24","0.63","0.16","0.79","3.03"
"JOEL ARMIA","","R","MTL","58","16","14","2","28","4","155","146","25","171","326","0.28","0.24","0.03","0.48","0.07","2.67","2.52","0.43","2.95","5.62"
"CHARLIE COYLE","","C","BOS","70","16","21","9","21","5","145","83","34","117","262","0.23","0.30","0.13","0.30","0.07","2.07","1.19","0.49","1.67","3.74"
"LOGAN COUTURE","","C","S.J","52","16","23","0","18","9","126","54","45","99","225","0.31","0.44","0.00","0.35","0.17","2.42","1.04","0.87","1.90","4.33"
"ANTHONY MANTHA","","R","WSH","43","16","22","-7","34","9","137","49","25","74","211","0.37","0.51","-0.16","0.79","0.21","3.19","1.14","0.58","1.72","4.91"
"TYLER ENNIS","","L","","70","16","21","-6","20","10","159","96","26","122","281","0.23","0.30","-0.09","0.29","0.14","2.27","1.37","0.37","1.74","4.01"
"ALEX PIETRANGELO","","D","VGK","70","16","36","11","20","22","225","47","89","136","361","0.23","0.51","0.16","0.29","0.31","3.21","0.67","1.27","1.94","5.16"
"ZACH SANFORD","","L","NSH","58","16","14","13","28","1","90","109","32","141","231","0.28","0.24","0.22","0.48","0.02","1.55","1.88","0.55","2.43","3.98"
"CONNOR BROWN","","R","WSH","71","16","27","-6","24","4","173","39","35","74","247","0.23","0.38","-0.08","0.34","0.06","2.44","0.55","0.49","1.04","3.48"
"JOONAS DONSKOI","","R","SEA","65","16","17","2","26","5","111","25","38","63","174","0.25","0.26","0.03","0.40","0.08","1.71","0.38","0.58","0.97","2.68"
"FRANK VATRANO","","R","ANA","69","16","18","-8","30","2","162","102","43","145","307","0.23","0.26","-0.12","0.43","0.03","2.35","1.48","0.62","2.10","4.45"
"ANTHONY CIRELLI","","C","T.B","68","16","28","28","30","5","113","89","47","136","249","0.24","0.41","0.41","0.44","0.07","1.66","1.31","0.69","2.00","3.66"
"BROCK BOESER","","R","VAN","57","16","29","4","14","14","169","28","14","42","211","0.28","0.51","0.07","0.25","0.25","2.96","0.49","0.25","0.74","3.70"
"JORDAN EBERLE","","R","SEA","58","16","24","1","12","11","136","37","39","76","212","0.28","0.41","0.02","0.21","0.19","2.34","0.64","0.67","1.31","3.66"
"MARTIN NECAS","","R","CAR","64","16","20","-6","20","9","88","65","19","84","172","0.25","0.31","-0.09","0.31","0.14","1.38","1.02","0.30","1.31","2.69"
"TONY DEANGELO","","D","PHI","68","15","38","12","47","19","149","48","57","105","254","0.22","0.56","0.18","0.69","0.28","2.19","0.71","0.84","1.54","3.74"
"WILLIAM KARLSSON","","C","VGK","63","15","31","11","16","8","138","40","38","78","216","0.24","0.49","0.17","0.25","0.13","2.19","0.63","0.60","1.24","3.43"
"SHEA WEBER","","D","VGK","65","15","21","8","33","8","185","112","114","226","411","0.23","0.32","0.12","0.51","0.12","2.85","1.72","1.75","3.48","6.32"
"LAWSON CROUSE","","L","ARI","66","15","10","0","33","0","109","201","29","230","339","0.23","0.15","0.00","0.50","0.00","1.65","3.05","0.44","3.48","5.14"
"DEREK GRANT","","L","ANA","56","15","10","1","30","2","94","54","25","79","173","0.27","0.18","0.02","0.54","0.04","1.68","0.96","0.45","1.41","3.09"
"KRIS LETANG","","D","PIT","61","15","29","0","38","15","177","101","91","192","369","0.25","0.48","0.00","0.62","0.25","2.90","1.66","1.49","3.15","6.05"
"GUSTAV NYQUIST","","L","CBJ","70","15","27","4","16","9","151","37","26","63","214","0.21","0.39","0.06","0.23","0.13","2.16","0.53","0.37","0.90","3.06"
"CALLE JARNKROK","","C","","64","15","19","4","14","9","136","28","27","55","191","0.23","0.30","0.06","0.22","0.14","2.13","0.44","0.42","0.86","2.98"
"ZACK KASSIAN","","R","ARI","59","15","19","0","69","0","99","157","8","165","264","0.25","0.32","0.00","1.17","0.00","1.68","2.66","0.14","2.80","4.47"
"RICKARD RAKELL","","R","PIT","65","15","27","-5","12","9","186","81","29","110","296","0.23","0.42","-0.08","0.18","0.14","2.86","1.25","0.45","1.69","4.55"
"ARTEM ANISIMOV","","C","","49","15","5","-15","8","6","87","6","25","31","118","0.31","0.10","-0.31","0.16","0.12","1.78","0.12","0.51","0.63","2.41"
"JOHN CARLSON","","D","WSH","69","15","60","12","26","26","189","55","108","163","352","0.22","0.87","0.17","0.38","0.38","2.74","0.80","1.57","2.36","5.10"
"ALEXANDER RADULOV","","R","","60","15","19","8","46","10","132","48","42","90","222","0.25","0.32","0.13","0.77","0.17","2.20","0.80","0.70","1.50","3.70"
"MATS ZUCCARELLO","","R","MIN","65","15","22","-9","18","7","96","13","36","49","145","0.23","0.34","-0.14","0.28","0.11","1.48","0.20","0.55","0.75","2.23"
"VIKTOR ARVIDSSON","","R","L.A","57","15","13","-4","26","8","127","27","24","51","178","0.26","0.23","-0.07","0.46","0.14","2.23","0.47","0.42","0.89","3.12"
"ROBBY FABBRI","","L","DET","61","15","17","-33","20","9","111","75","14","89","200","0.25","0.28","-0.54","0.33","0.15","1.82","1.23","0.23","1.46","3.28"
"TEUVO TERAVAINEN","","L","CAR","68","15","48","20","8","21","182","18","30","48","230","0.22","0.71","0.29","0.12","0.31","2.68","0.26","0.44","0.71","3.38"
"LUKE KUNIN","","L","S.J","63","15","16","-10","55","2","128","64","54","118","246","0.24","0.25","-0.16","0.87","0.03","2.03","1.02","0.86","1.87","3.90"
"RYAN JOHANSEN","","C","NSH","68","14","22","-5","45","9","101","39","34","73","174","0.21","0.32","-0.07","0.66","0.13","1.49","0.57","0.50","1.07","2.56"
"FILIP CHYTIL","","C","NYR","60","14","9","-7","10","3","114","13","31","44","158","0.23","0.15","-0.12","0.17","0.05","1.90","0.22","0.52","0.73","2.63"
