"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"DAVID PASTRNAK","","R","BOS","70","48","47","21","40","38","279","47","22","69","348","0.69","0.67","0.30","0.57","0.54","3.99","0.67","0.31","0.99","4.97"
"ALEX OVECHKIN","","L","WSH","68","48","19","-12","30","18","311","184","30","214","525","0.71","0.28","-0.18","0.44","0.26","4.57","2.71","0.44","3.15","7.72"
"AUSTON MATTHEWS","","C","TOR","70","47","33","19","8","25","290","40","60","100","390","0.67","0.47","0.27","0.11","0.36","4.14","0.57","0.86","1.43","5.57"
"LEON DRAISAITL","","L","EDM","71","43","67","-7","18","44","218","27","19","46","264","0.61","0.94","-0.10","0.25","0.62","3.07","0.38","0.27","0.65","3.72"
"MIKA ZIBANEJAD","","C","NYR","57","41","34","9","14","27","208","51","49","100","308","0.72","0.60","0.16","0.25","0.47","3.65","0.89","0.86","1.75","5.40"
"KYLE CONNOR","","L","WPG","71","38","35","4","34","17","239","18","17","35","274","0.54","0.49","0.06","0.48","0.24","3.37","0.25","0.24","0.49","3.86"
"SEBASTIAN AHO","","C","CAR","68","38","28","10","26","17","206","55","20","75","281","0.56","0.41","0.15","0.38","0.25","3.03","0.81","0.29","1.10","4.13"
"JACK EICHEL","","C","VGK","68","36","42","5","34","27","227","40","42","82","309","0.53","0.62","0.07","0.50","0.40","3.34","0.59","0.62","1.21","4.54"
"NATHAN MACKINNON","","C","COL","69","35","58","13","12","31","318","51","31","82","400","0.51","0.84","0.19","0.17","0.45","4.61","0.74","0.45","1.19","5.80"
"CONNOR MCDAVID","","C","EDM","64","34","63","-6","28","43","212","37","18","55","267","0.53","0.98","-0.09","0.44","0.67","3.31","0.58","0.28","0.86","4.17"
"NIKITA KUCHEROV","","R","T.B","68","33","52","26","38","25","210","37","19","56","266","0.49","0.76","0.38","0.56","0.37","3.09","0.54","0.28","0.82","3.91"
"PATRICK KANE","","R","CHI","70","33","51","8","40","23","275","24","19","43","318","0.47","0.73","0.11","0.57","0.33","3.93","0.34","0.27","0.61","4.54"
"MAX PACIORETTY","","L","CAR","71","32","34","18","44","19","307","90","35","125","432","0.45","0.48","0.25","0.62","0.27","4.32","1.27","0.49","1.76","6.08"
"ARTEMI PANARIN","","L","NYR","69","32","63","36","20","24","209","25","18","43","252","0.46","0.91","0.52","0.29","0.35","3.03","0.36","0.26","0.62","3.65"
"PATRICE BERGERON","","C","BOS","61","31","25","23","28","20","203","46","46","92","295","0.51","0.41","0.38","0.46","0.33","3.33","0.75","0.75","1.51","4.84"
"WILLIAM NYLANDER","","L","TOR","68","31","28","-2","12","17","197","9","14","23","220","0.46","0.41","-0.03","0.18","0.25","2.90","0.13","0.21","0.34","3.24"
"DOMINIK KUBALIK","","L","DET","68","30","16","2","16","8","157","79","17","96","253","0.44","0.24","0.03","0.24","0.12","2.31","1.16","0.25","1.41","3.72"
"MIKE HOFFMAN","","R","MTL","69","29","30","-5","28","21","214","33","22","55","269","0.42","0.43","-0.07","0.41","0.30","3.10","0.48","0.32","0.80","3.90"
"ELIAS LINDHOLM","","C","CGY","70","29","25","-8","22","19","169","93","41","134","303","0.41","0.36","-0.11","0.31","0.27","2.41","1.33","0.59","1.91","4.33"
"STEVEN STAMKOS","","C","T.B","57","29","37","14","22","19","176","69","38","107","283","0.51","0.65","0.25","0.39","0.33","3.09","1.21","0.67","1.88","4.96"
"MARK SCHEIFELE","","C","WPG","71","29","44","2","45","20","170","34","49","83","253","0.41","0.62","0.03","0.63","0.28","2.39","0.48","0.69","1.17","3.56"
"BRAD MARCHAND","","L","BOS","70","28","59","25","82","28","185","55","19","74","259","0.40","0.84","0.36","1.17","0.40","2.64","0.79","0.27","1.06","3.70"
"PATRIK LAINE","","R","CBJ","68","28","35","8","22","16","226","97","35","132","358","0.41","0.51","0.12","0.32","0.24","3.32","1.43","0.51","1.94","5.26"
"J.T. MILLER","","C","VAN","69","27","45","11","47","25","165","123","38","161","326","0.39","0.65","0.16","0.68","0.36","2.39","1.78","0.55","2.33","4.72"
"ELIAS PETTERSSON","","C","VAN","68","27","39","16","18","24","162","63","42","105","267","0.40","0.57","0.24","0.26","0.35","2.38","0.93","0.62","1.54","3.93"
"REILLY SMITH","","R","VGK","71","27","27","17","20","5","169","55","30","85","254","0.38","0.38","0.24","0.28","0.07","2.38","0.77","0.42","1.20","3.58"
"BRYAN RUST","","R","PIT","55","27","29","14","30","17","151","71","35","106","257","0.49","0.53","0.25","0.55","0.31","2.75","1.29","0.64","1.93","4.67"
"JEAN-GABRIEL PAGEAU","","C","NYI","67","26","16","4","49","10","151","128","53","181","332","0.39","0.24","0.06","0.73","0.15","2.25","1.91","0.79","2.70","4.96"
"JOHN TAVARES","","C","TOR","63","26","34","-7","24","21","197","32","31","63","260","0.41","0.54","-0.11","0.38","0.33","3.13","0.51","0.49","1.00","4.13"
"ALEX KILLORN","","R","T.B","68","26","23","19","20","13","130","59","15","74","204","0.38","0.34","0.28","0.29","0.19","1.91","0.87","0.22","1.09","3.00"
"EVANDER KANE","","L","EDM","64","26","21","-12","122","18","216","135","25","160","376","0.41","0.33","-0.19","1.91","0.28","3.38","2.11","0.39","2.50","5.88"
"T.J. OSHIE","","R","WSH","69","26","23","4","26","12","133","90","58","148","281","0.38","0.33","0.06","0.38","0.17","1.93","1.30","0.84","2.14","4.07"
"ADAM HENRIQUE","","L","ANA","71","26","17","-3","22","9","169","75","32","107","276","0.37","0.24","-0.04","0.31","0.13","2.38","1.06","0.45","1.51","3.89"
"BROCK NELSON","","C","NYI","68","26","28","6","32","7","175","49","44","93","268","0.38","0.41","0.09","0.47","0.10","2.57","0.72","0.65","1.37","3.94"
"EVGENII DADONOV","","R","MTL","69","25","22","-7","10","17","167","29","24","53","220","0.36","0.32","-0.10","0.14","0.25","2.42","0.42","0.35","0.77","3.19"
"KYLE PALMIERI","","R","NYI","65","25","20","-4","41","18","155","74","36","110","265","0.38","0.31","-0.06","0.63","0.28","2.38","1.14","0.55","1.69","4.08"
"JAKUB VRANA","","L","DET","69","25","27","3","18","12","187","29","16","45","232","0.36","0.39","0.04","0.26","0.17","2.71","0.42","0.23","0.65","3.36"
"DAVID PERRON","","R","DET","71","25","35","2","52","27","166","67","19","86","252","0.35","0.49","0.03","0.73","0.38","2.34","0.94","0.27","1.21","3.55"
"NIKOLAJ EHLERS","","L","WPG","71","25","33","14","30","5","203","36","28","64","267","0.35","0.46","0.20","0.42","0.07","2.86","0.51","0.39","0.90","3.76"
"BRAYDEN SCHENN","","C","STL","71","25","33","3","44","21","138","119","21","140","278","0.35","0.46","0.04","0.62","0.30","1.94","1.68","0.30","1.97","3.92"
"EVGENI MALKIN","","C","PIT","55","25","49","7","58","24","171","38","22","60","231","0.45","0.89","0.13","1.05","0.44","3.11","0.69","0.40","1.09","4.20"
"ZACH PARISE","","L","NYI","69","25","21","-11","8","18","155","27","38","65","220","0.36","0.30","-0.16","0.12","0.26","2.25","0.39","0.55","0.94","3.19"
"BRAYDEN POINT","","C","T.B","66","25","39","28","11","13","141","24","30","54","195","0.38","0.59","0.42","0.17","0.20","2.14","0.36","0.45","0.82","2.95"
"TYLER TOFFOLI","","R","CGY","68","24","20","-1","20","10","203","48","16","64","267","0.35","0.29","-0.01","0.29","0.15","2.99","0.71","0.24","0.94","3.93"
"TRAVIS KONECNY","","R","PHI","66","24","37","-1","28","23","141","63","30","93","234","0.36","0.56","-0.02","0.42","0.35","2.14","0.95","0.45","1.41","3.55"
"ANDREI SVECHNIKOV","","L","CAR","68","24","37","9","54","20","183","116","27","143","326","0.35","0.54","0.13","0.79","0.29","2.69","1.71","0.40","2.10","4.79"
"CHRIS KREIDER","","L","NYR","63","24","21","13","58","13","156","116","42","158","314","0.38","0.33","0.21","0.92","0.21","2.48","1.84","0.67","2.51","4.98"
"ANTHONY DUCLAIR","","R","FLA","66","23","17","-5","18","8","184","53","39","92","276","0.35","0.26","-0.08","0.27","0.12","2.79","0.80","0.59","1.39","4.18"
