"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"ALIAKSEI PROTAS","","C","WSH","58","4","11","-8","12","0","83","39","15","54","137","0.07","0.19","-0.14","0.21","0.00","1.43","0.67","0.26","0.93","2.36"
"JACK STUDNICKA","","C","VAN","48","4","4","-12","16","0","65","61","19","80","145","0.08","0.08","-0.25","0.33","0.00","1.35","1.27","0.40","1.67","3.02"
"MARTIN KAUT","","R","S.J","36","4","4","-4","4","1","44","23","5","28","72","0.11","0.11","-0.11","0.11","0.03","1.22","0.64","0.14","0.78","2.00"
"DYLAN GAMBRELL","","C","TOR","60","4","6","-4","35","0","46","60","45","105","151","0.07","0.10","-0.07","0.58","0.00","0.77","1.00","0.75","1.75","2.52"
"JOSH MAHURA","","D","FLA","82","4","12","16","48","0","78","101","70","171","249","0.05","0.15","0.20","0.59","0.00","0.95","1.23","0.85","2.09","3.04"
"NICK SEELER","","D","PHI","77","4","10","1","56","0","84","126","161","287","371","0.05","0.13","0.01","0.73","0.00","1.09","1.64","2.09","3.73","4.82"
"NICK BLANKENBURG","","D","CBJ","36","4","10","-15","16","4","50","61","49","110","160","0.11","0.28","-0.42","0.44","0.11","1.39","1.69","1.36","3.06","4.44"
"NICOLAS AUBE-KUBEL","","R","WSH","53","4","8","1","50","0","67","117","9","126","193","0.08","0.15","0.02","0.94","0.00","1.26","2.21","0.17","2.38","3.64"
"BEN MEYERS","","L","COL","39","4","0","-6","6","0","33","25","13","38","71","0.10","0.00","-0.15","0.15","0.00","0.85","0.64","0.33","0.97","1.82"
"BRAD HUNT","","D","COL","47","4","6","4","12","0","46","16","10","26","72","0.09","0.13","0.09","0.26","0.00","0.98","0.34","0.21","0.55","1.53"
"LUKE SCHENN","","D","NSH","70","4","18","8","84","0","81","318","98","416","497","0.06","0.26","0.11","1.20","0.00","1.16","4.54","1.40","5.94","7.10"
"ARTEM ZUB","","D","OTT","53","3","7","2","39","0","41","131","67","198","239","0.06","0.13","0.04","0.74","0.00","0.77","2.47","1.26","3.74","4.51"
"NICOLAS HAGUE","","D","VGK","81","3","14","7","51","0","103","117","131","248","351","0.04","0.17","0.09","0.63","0.00","1.27","1.44","1.62","3.06","4.33"
"CHRIS TIERNEY","","C","N.J","36","3","7","-8","6","0","19","15","21","36","55","0.08","0.19","-0.22","0.17","0.00","0.53","0.42","0.58","1.00","1.53"
"CURTIS LAZAR","","C","N.J","49","3","2","-6","21","0","55","138","53","191","246","0.06","0.04","-0.12","0.43","0.00","1.12","2.82","1.08","3.90","5.02"
"JONAS BRODIN","","D","MIN","60","3","11","13","30","0","90","50","130","180","270","0.05","0.18","0.22","0.50","0.00","1.50","0.83","2.17","3.00","4.50"
"ANTHONY RICHARD","","R","BOS","13","3","2","2","6","0","13","25","3","28","41","0.23","0.15","0.15","0.46","0.00","1.00","1.92","0.23","2.15","3.15"
"TYSON FOERSTER","","R","PHI","8","3","4","2","8","1","15","12","10","22","37","0.38","0.50","0.25","1.00","0.13","1.88","1.50","1.25","2.75","4.63"
"FILIP ZADINA","","R","S.J","30","3","4","-6","10","0","51","22","15","37","88","0.10","0.13","-0.20","0.33","0.00","1.70","0.73","0.50","1.23","2.93"
"JAKE MCCABE","","D","TOR","76","3","22","19","56","0","96","163","151","314","410","0.04","0.29","0.25","0.74","0.00","1.26","2.14","1.99","4.13","5.39"
