"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"JONATHAN BERNIER","","33","L","N.J","46","15","22","3","1","126","1353","1227","2.95","0.907","17","37.0","2565","1","$3.25M","$3M","$3M"
"JAMES REIMER","","34","L","S.J","25","14","6","2","3","61","712","651","2.66","0.914","14","56.0","1378","1","$3.1M","$3.4M","$3.4M"
"ELVIS MERZLIKINS","","28","L","CBJ","33","13","9","8","5","71","919","848","2.35","0.923","16","48.5","1815","5","$0.87M","$0.87M","$0.87M"
"THATCHER DEMKO","","26","L","VAN","27","13","10","2","0","78","822","744","3.06","0.905","15","55.6","1529","4","$0.9M","$1.05M","$1.05M"
"JAKE ALLEN","","31","L","MTL","24","12","6","3","2","48","655","607","2.15","0.927","14","58.3","1339","1","$5.2M","$4.35M","$4.35M"
"CARTER HUTTON","","36","L","","31","12","14","4","2","94","918","824","3.18","0.898","14","45.2","1775","0","$2.75M","$2.75M","$2.75M"
"DEVAN DUBNYK","","36","L","","30","12","15","2","1","93","849","756","3.35","0.890","8","26.7","1664","0","$3.5M","$4.33M","$4.33M"
"AARON DELL","","33","L","S.J","33","12","15","3","0","92","986","894","3.01","0.907","15","45.5","1834","1","$1.6M","$1.9M","$1.9M"
"CAM TALBOT","","35","L","OTT","26","12","10","1","2","63","780","717","2.63","0.919","11","42.3","1434","1","$2.75M","$2.75M","$2.75M"
"CRAIG ANDERSON","","41","L","BUF","34","11","17","2","0","100","1018","918","3.25","0.902","14","41.2","1845","1","$4M","$4.75M","$4.75M"
"JACK CAMPBELL","","30","L","EDM","26","11","12","3","0","73","761","688","2.80","0.904","11","42.3","1566","5","$0.7M","$0.68M","$0.68M"
"HENRIK LUNDQVIST","","40","L","","30","10","12","3","1","84","883","799","3.16","0.905","13","43.3","1596","0","$7M","$8.5M","$8.5M"
"IGOR SHESTERKIN","","26","L","NYR","12","10","2","0","0","29","424","395","2.52","0.932","9","75.0","691","3","$0.93M","$0.93M","$3.78M"
"RYAN MILLER","","42","L","","23","9","6","4","0","64","685","621","3.10","0.907","11","47.8","1238","0","$1.13M","$1.13M","$2.33M"
"ANDERS NILSSON","","32","L","","20","9","9","2","0","58","628","570","3.18","0.908","11","55.0","1093","0","$2.8M","$2.6M","$2.6M"
"MALCOLM SUBBAN","","28","L","BUF","21","9","7","3","0","60","546","486","3.17","0.890","7","33.3","1134","1","$0.85M","$0.85M","$0.85M"
"CURTIS MCELHINNEY","","39","L","","18","8","7","3","1","52","551","499","2.89","0.906","8","44.4","1080","0","$1.3M","$1.3M","$1.3M"
"CHRIS DRIEDGER","","28","L","SEA","12","7","2","1","1","22","354","332","2.05","0.938","7","58.3","642","2","$0.75M","$0.85M","$0.85M"
"LAURENT BROSSOIT","","29","L","VGK","19","6","7","1","0","54","512","458","3.28","0.895","7","36.8","987","1","$1.23M","$1.23M","$1.23M"
"MICHAEL HUTCHINSON","","32","R","VGK","16","5","9","1","1","49","439","390","3.47","0.888","4","25.0","847","1","$0.7M","$0.7M","$0.7M"
"SAM MONTEMBEAULT","","25","L","MTL","14","5","5","1","0","39","356","317","3.34","0.890","3","21.4","700","2","$0.71M","$0.71M","$0.71M"
"MARCUS HOGBERG","","27","L","","24","5","8","8","0","70","728","658","3.12","0.904","10","41.7","1344","0","$0.7M","$0.7M","$0.7M"
"CAL PETERSEN","","27","R","L.A","8","5","3","0","0","21","269","248","2.64","0.922","5","62.5","477","3","$0.7M","$0.86M","$0.86M"
"LOUIS DOMINGUE","","30","R","NYR","17","3","9","2","0","51","433","382","3.81","0.882","4","23.5","802","2","$1.15M","$1.15M","$1.15M"
"CORY SCHNEIDER","","36","L","","13","3","6","2","1","40","355","315","3.53","0.887","3","23.1","679","0","$6M","$6M","$6M"
"KAAPO KAHKONEN","","25","L","S.J","5","3","1","1","0","15","172","157","2.96","0.913","3","60.0","304","2","$0.79M","$0.77M","$0.93M"
"ADIN HILL","","26","L","S.J","13","2","4","3","0","28","343","315","2.62","0.918","5","38.5","640","1","$0.71M","$0.71M","$0.71M"
"JIMMY HOWARD","","38","L","","27","2","23","2","0","96","817","721","4.20","0.882","7","25.9","1371","0","$4M","$4M","$5.1M"
"CHARLIE LINDGREN","","28","R","WSH","6","2","4","0","0","20","178","158","3.33","0.888","1","16.7","360","3","$0.75M","$0.75M","$0.75M"
"ANTON FORSBERG","","29","L","OTT","3","1","1","0","0","8","78","70","3.35","0.897","1","33.3","143","3","$0.78M","$0.78M","$0.78M"
"ALEX LYON","","29","L","FLA","3","1","1","0","0","8","73","65","3.55","0.890","0","0.0","135","1","$0.75M","$0.75M","$0.75M"
"CAYDEN PRIMEAU","","22","L","MTL","2","1","1","0","0","5","72","67","2.52","0.931","2","100.0","119","0","$0.79M","$0.88M","$0.97M"
"KEITH KINKAID","","33","L","BOS","6","1","1","3","0","24","192","168","4.24","0.875","0","0.0","339","1","$1.75M","$1.75M","$1.75M"
"ANTOINE BIBEAU","","28","L","OTT","2","1","0","0","0","5","42","37","3.27","0.881","0","0.0","91","1","$0.7M","$0.68M","$0.68M"
"JONAS JOHANSSON","","26","L","COL","6","1","3","1","0","16","151","135","2.94","0.894","1","16.7","326","1","$0.79M","$0.76M","$0.93M"
"ALEX NEDELJKOVIC","","26","L","DET","4","1","2","1","0","11","97","86","3.05","0.887","1","25.0","216","1","$0.73M","$0.74M","$0.74M"
"ADAM WERNER","","25","L","","2","1","1","0","0","5","58","53","3.42","0.914","1","50.0","87","0","$0.82M","$0.84M","$0.93M"
"MATISS KIVLENIEKS","","25","L","","6","1","1","2","0","14","137","123","2.95","0.898","2","33.3","284","0","$0.93M","$0.93M","$1.07M"
"DAVID AYRES","","44","L","","1","1","0","0","0","2","10","8","4.18","0.800","0","0.0","28","0","0","0","0"
"GARRET SPARKS","","29","L","","1","0","0","0","0","2","14","12","4.38","0.857","0","0.0","27","0","$0.75M","$0.75M","$0.75M"
"MICHAEL DIPIETRO","","23","L","VAN","1","0","0","0","0","1","7","6","7.16","0.857","0","0.0","8","1","$0.79M","$0.81M","$0.91M"
"ANTHONY STOLARZ","","28","L","ANA","1","0","1","0","0","2","36","34","2.04","0.944","1","100.0","58","1","$0.8M","$0.75M","$0.75M"
"CALVIN PICKARD","","30","L","EDM","3","0","2","0","0","15","74","59","5.46","0.797","0","0.0","164","2","$0.7M","$0.75M","$0.75M"
"OSCAR DANSK","","28","L","CGY","1","0","1","0","0","6","37","31","6.00","0.838","0","0.0","60","1","$0.7M","$0.68M","$0.68M"
"ERIC COMRIE","","27","L","BUF","3","0","2","0","0","9","66","57","4.28","0.864","0","0.0","126","2","$0.7M","$0.7M","$0.7M"
"KASIMIR KASKISUO","","28","L","","1","0","1","0","0","6","38","32","6.00","0.842","0","0.0","60","0","$0.7M","$0.68M","$0.68M"
"GILLES SENN","","26","R","N.J","2","0","1","0","0","4","41","37","3.42","0.902","1","50.0","70","0","$0.79M","$0.82M","$0.93M"
