"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"ANDREI VASILEVSKIY","","27","L","T.B","52","35","14","3","3","133","1605","1472","2.56","0.917","31","59.6","3121","6","$4M","$3.5M","$3.5M"
"CONNOR HELLEBUYCK","","29","L","WPG","58","31","21","5","6","140","1796","1656","2.57","0.922","36","62.1","3268","2","$6M","$6.17M","$6.17M"
"JORDAN BINNINGTON","","29","L","STL","50","30","13","7","3","126","1430","1304","2.56","0.912","28","56.0","2947","5","$4.55M","$4.4M","$4.4M"
"FREDERIK ANDERSEN","","32","L","CAR","52","29","13","7","3","143","1577","1434","2.85","0.909","27","51.9","3006","1","$5M","$5M","$5M"
"CAREY PRICE","","34","L","MTL","58","27","25","6","4","160","1755","1595","2.79","0.909","31","53.4","3439","4","$15M","$10.5M","$10.5M"
"MARC-ANDRE FLEURY","","37","L","MIN","49","27","16","5","5","133","1399","1266","2.77","0.905","24","49.0","2880","2","$8.5M","$7M","$7M"
"TUUKKA RASK","","35","L","BOS","41","26","8","6","5","85","1189","1104","2.12","0.929","28","68.3","2401","0","$6.5M","$7M","$7M"
"BRADEN HOLTBY","","32","L","","48","25","14","6","0","142","1385","1243","3.11","0.897","22","45.8","2743","0","$5M","$6.1M","$6.1M"
"CARTER HART","","23","L","PHI","43","24","13","3","1","95","1100","1005","2.42","0.914","25","58.1","2355","2","$0.7M","$0.73M","$0.86M"
"DAVID RITTICH","","29","L","WPG","48","24","17","6","2","138","1478","1340","2.97","0.907","24","50.0","2791","1","$2.75M","$2.75M","$2.75M"
"SERGEI BOBROVSKY","","33","L","FLA","50","23","19","6","1","151","1505","1354","3.23","0.900","21","42.0","2805","4","$11.5M","$10M","$10M"
"JACOB MARKSTROM","","32","L","CGY","43","23","16","4","2","117","1420","1303","2.75","0.918","25","58.1","2551","4","$4M","$3.67M","$3.67M"
"MACKENZIE BLACKWOOD","","25","L","N.J","47","22","14","8","3","124","1452","1328","2.77","0.915","22","46.8","2684","1","$0.7M","$0.7M","$0.91M"
"BEN BISHOP","","35","L","BUF","44","21","16","4","2","103","1286","1183","2.50","0.920","27","61.4","2473","1","$5.5M","$4.92M","$4.92M"
"PETR MRAZEK","","30","L","CHI","40","21","16","2","3","104","1091","987","2.69","0.905","19","47.5","2320","2","$3M","$3.13M","$3.13M"
"PAVEL FRANCOUZ","","32","R","COL","34","21","7","4","1","77","996","919","2.41","0.923","18","52.9","1914","2","$0.95M","$0.95M","$0.95M"
"JOHN GIBSON","","29","L","ANA","51","20","26","5","1","149","1552","1403","3.00","0.904","22","43.1","2981","5","$6.4M","$6.4M","$6.4M"
"TRISTAN JARRY","","27","L","PIT","33","20","12","1","3","78","985","907","2.43","0.921","19","57.6","1926","1","$0.7M","$0.68M","$0.68M"
"ALEX STALOCK","","34","L","CHI","38","20","11","4","4","97","1082","985","2.67","0.910","19","50.0","2177","1","$0.91M","$0.79M","$0.79M"
"MATT MURRAY","","28","L","TOR","38","20","11","5","1","107","1055","948","2.87","0.899","16","42.1","2237","2","$3.75M","$3.75M","$3.75M"
"ROBIN LEHNER","","30","L","VGK","36","19","10","5","1","99","1235","1136","2.89","0.920","19","52.8","2055","3","$5M","$5M","$5M"
"SEMYON VARLAMOV","","34","L","NYI","45","19","14","6","2","110","1278","1168","2.62","0.914","21","46.7","2517","1","$6M","$5M","$5M"
"MIKE SMITH","","40","L","EDM","39","19","12","6","1","106","1087","981","2.95","0.902","17","43.6","2156","1","$2M","$2M","$3.75M"
"JOONAS KORPISALO","","28","L","CBJ","37","19","12","5","2","92","1030","938","2.60","0.911","21","56.8","2125","1","$1.15M","$1.15M","$1.15M"
"MIKKO KOSKINEN","","34","L","","38","18","13","3","1","97","1175","1078","2.75","0.917","18","47.4","2116","0","$5.2M","$4.5M","$4.5M"
"PEKKA RINNE","","39","L","","36","18","14","4","3","105","1004","899","3.17","0.895","17","47.2","1987","0","$6M","$5M","$5M"
"PHILIPP GRUBAUER","","30","L","SEA","36","18","12","4","2","90","1067","977","2.63","0.916","16","44.4","2057","5","$3.9M","$3.33M","$3.33M"
"JAROSLAV HALAK","","37","L","NYR","31","18","6","6","3","73","905","832","2.39","0.919","18","58.1","1833","1","$2.25M","$2.75M","$2.75M"
"MARTIN JONES","","32","L","SEA","41","17","21","2","2","118","1139","1021","3.00","0.896","15","36.6","2359","2","$6.75M","$5.75M","$5.75M"
"JUUSE SAROS","","27","L","NSH","40","17","12","4","4","98","1142","1044","2.70","0.914","21","52.5","2176","3","$1.5M","$1.5M","$1.5M"
"ALEXANDAR GEORGIEV","","26","L","COL","34","17","14","2","2","96","1063","967","3.04","0.910","17","50.0","1891","3","$0.79M","$0.79M","$0.93M"
"LINUS ULLMARK","","28","L","BOS","34","17","14","3","1","91","1066","975","2.69","0.915","19","55.9","2026","3","$1.33M","$1.33M","$1.33M"
"JONATHAN QUICK","","36","L","L.A","42","16","22","4","1","117","1224","1107","2.79","0.904","21","50.0","2516","1","$7M","$5.8M","$5.8M"
"ANTON KHUDOBIN","","36","L","DAL","30","16","8","4","0","62","882","820","2.22","0.930","19","63.3","1677","1","$2.5M","$2.5M","$2.5M"
"ILYA SAMSONOV","","25","L","TOR","26","16","6","2","1","60","689","629","2.55","0.913","13","50.0","1411","1","$0.93M","$0.93M","$1.48M"
"THOMAS GREISS","","36","L","STL","31","16","9","4","0","73","838","765","2.74","0.913","15","48.4","1595","1","$3.75M","$3.33M","$3.33M"
"BRIAN ELLIOTT","","37","L","T.B","31","16","7","4","2","80","796","716","2.87","0.899","14","45.2","1673","1","$2M","$2M","$2M"
"COREY CRAWFORD","","37","L","","40","16","20","3","1","108","1294","1186","2.77","0.917","25","62.5","2340","0","$5M","$6M","$6M"
"DARCY KUEMPER","","32","L","WSH","29","16","11","2","2","65","903","838","2.22","0.928","22","75.9","1753","5","$2.1M","$1.85M","$1.85M"
"ANTTI RAANTA","","33","L","CAR","33","15","14","3","2","80","1014","934","2.63","0.921","18","54.5","1822","1","$5M","$4.25M","$4.25M"
