"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"JACOB MARKSTROM","","33","L","CGY","59","23","21","12","1","166","1542","1376","2.92","0.892","26","44.1","3410","3","$8.00M","$6.00M","$6.00M"
"FILIP GUSTAVSSON","","25","L","MIN","39","22","9","7","3","81","1173","1092","2.10","0.931","27","69.2","2310","3","$0.83M","$0.79M","$0.79M"
"CARTER HART","","25","L","PHI","55","22","23","10","2","155","1665","1510","2.94","0.907","24","43.6","3163","1","$3.98M","$3.98M","$3.98M"
"DARCY KUEMPER","","33","L","WSH","57","22","26","7","5","153","1674","1521","2.85","0.909","27","47.4","3223","4","$6.00M","$5.25M","$5.25M"
"FREDERIK ANDERSEN","","33","L","CAR","34","21","11","1","1","82","848","766","2.48","0.903","17","50.0","1984","2","$5.00M","$4.50M","$4.50M"
"LOGAN THOMPSON","","26","R","VGK","37","21","13","3","2","96","1131","1035","2.65","0.915","20","54.1","2171","2","$0.75M","$0.77M","$0.77M"
"JACK CAMPBELL","","31","L","EDM","36","21","9","4","1","115","1027","912","3.41","0.888","12","33.3","2026","4","$5.50M","$5.00M","$5.00M"
"ANTTI RAANTA","","34","L","CAR","27","19","3","3","4","58","644","586","2.23","0.910","13","48.1","1561","1","$2.25M","$2.00M","$2.00M"
"KAREL VEJMELKA","","27","R","ARI","50","18","24","6","3","167","1670","1503","3.41","0.900","23","46.0","2940","2","$2.25M","$2.73M","$2.73M"
"JOONAS KORPISALO","","29","L","OTT","39","18","14","4","1","103","1206","1103","2.85","0.915","24","61.5","2171","5","$1.30M","$1.30M","$1.30M"
"PHILIPP GRUBAUER","","31","L","SEA","39","17","14","4","0","98","930","832","2.85","0.895","22","56.4","2065","4","$6.25M","$5.90M","$5.90M"
"CAM TALBOT","","36","L","L.A","36","17","14","2","1","95","935","840","2.93","0.898","20","55.6","1947","1","$3.00M","$3.67M","$3.67M"
"UKKO-PEKKA LUUKKONEN","","24","L","BUF","33","17","11","4","0","114","1054","940","3.58","0.892","13","39.4","1910","1","$0.75M","$0.84M","$0.84M"
"SAM MONTEMBEAULT","","26","L","MTL","40","16","19","3","0","133","1345","1212","3.42","0.901","21","52.5","2333","1","$1.00M","$1.00M","$1.00M"
"JONATHAN QUICK","","37","L","NYR","41","16","15","6","2","127","1080","953","3.41","0.882","14","34.1","2234","1","$2.50M","$5.80M","$5.80M"
"ADIN HILL","","27","L","VGK","27","16","7","1","0","61","729","668","2.45","0.916","16","59.3","1490","2","$2.68M","$2.18M","$2.18M"
"CASEY DESMITH","","32","L","MTL","38","15","16","4","0","109","1142","1033","3.17","0.905","16","42.1","2065","1","$1.70M","$1.80M","$1.80M"
"JAKE ALLEN","","33","L","MTL","42","15","24","3","1","145","1335","1190","3.55","0.891","20","47.6","2450","2","$3.75M","$2.88M","$2.88M"
"DAN VLADAR","","26","L","CGY","27","14","6","5","0","70","667","597","2.83","0.895","10","37.0","1483","2","$0.80M","$0.75M","$0.75M"
"MATT MURRAY","","29","L","TOR","26","14","8","2","1","74","761","687","3.01","0.903","13","50.0","1473","1","$7.00M","$6.25M","$6.25M"
"THATCHER DEMKO","","27","L","VAN","32","14","14","4","1","99","1005","906","3.16","0.901","14","43.8","1878","3","$4.50M","$5.00M","$5.00M"
"JOHN GIBSON","","30","L","ANA","53","14","31","8","1","200","1983","1783","3.99","0.899","24","45.3","3004","4","$6.40M","$6.40M","$6.40M"
"CHARLIE LINDGREN","","29","R","WSH","31","13","11","3","0","86","853","767","3.05","0.899","13","41.9","1692","2","$1.20M","$1.10M","$1.10M"
"PYOTR KOCHETKOV","","24","L","CAR","24","12","7","5","4","57","627","570","2.44","0.909","13","54.2","1403","4","$0.84M","$0.84M","$0.93M"
"JAMES REIMER","","35","L","DET","43","12","21","8","3","147","1334","1187","3.48","0.890","18","41.9","2538","1","$2.75M","$2.25M","$2.25M"
"BRIAN ELLIOTT","","38","L","","22","12","8","2","2","75","689","614","3.40","0.891","9","40.9","1324","0","$0.90M","$0.90M","$0.90M"
"CRAIG ANDERSON","","42","L","","26","11","11","2","1","76","827","751","3.06","0.908","12","46.2","1490","0","$1.50M","$1.50M","$2.00M"
"SEMYON VARLAMOV","","35","L","NYI","23","11","9","2","2","60","688","628","2.70","0.913","13","56.5","1334","4","$4.00M","$5.00M","$5.00M"
"ANTON FORSBERG","","30","L","OTT","28","11","11","2","2","80","817","737","3.26","0.902","12","42.9","1471","2","$2.55M","$2.75M","$2.75M"
"SPENCER MARTIN","","28","L","VAN","29","11","15","1","0","107","830","723","3.99","0.871","8","27.6","1610","1","$0.75M","$0.76M","$0.76M"
"MACKENZIE BLACKWOOD","","26","L","S.J","22","10","6","2","0","60","563","503","3.20","0.893","10","45.5","1125","2","$4.13M","$2.80M","$2.80M"
"JAROSLAV HALAK","","38","L","","25","10","9","5","1","66","680","614","2.72","0.903","15","60.0","1453","0","$1.50M","$1.50M","$1.55M"
"PETR MRAZEK","","31","L","CHI","39","10","22","3","0","132","1248","1116","3.66","0.894","17","43.6","2165","1","$4.20M","$3.80M","$3.80M"
"COLLIN DELIA","","29","L","WPG","20","10","6","2","0","62","526","464","3.28","0.882","8","40.0","1135","1","$0.75M","$0.75M","$0.75M"
"SCOTT WEDGEWOOD","","31","L","DAL","21","9","8","3","1","51","603","552","2.72","0.915","12","57.1","1126","1","$1.00M","$1.00M","$1.00M"
"ALEX LYON","","30","L","DET","15","9","4","2","1","42","488","446","2.82","0.914","11","73.3","893","2","$0.75M","$0.75M","$0.75M"
"ERIC COMRIE","","28","L","BUF","19","9","9","1","1","68","594","526","3.67","0.886","7","36.8","1111","1","$1.80M","$1.80M","$1.80M"
"KAAPO KAHKONEN","","27","L","S.J","37","9","20","7","1","135","1149","1014","3.85","0.883","13","35.1","2106","1","$2.60M","$2.75M","$2.75M"
"DAVID RITTICH","","31","L","L.A","21","9","8","1","0","50","506","456","2.67","0.901","8","38.1","1121","1","$0.90M","$0.90M","$0.90M"
"AKIRA SCHMID","","23","L","N.J","18","9","5","2","1","32","408","376","2.13","0.922","9","50.0","901","1","$0.84M","$0.85M","$0.93M"
"SPENCER KNIGHT","","22","L","FLA","21","9","8","3","1","62","627","565","3.18","0.901","8","38.1","1168","3","$0.93M","$0.93M","$2.49M"
"KEVIN LANKINEN","","28","L","NSH","19","9","8","1","0","49","583","534","2.75","0.916","11","57.9","1069","1","$1.50M","$1.50M","$1.50M"
"ALEX STALOCK","","36","L","ANA","27","9","15","2","2","74","804","730","3.01","0.908","12","44.4","1475","1","$0.75M","$0.75M","$0.75M"
"PAVEL FRANCOUZ","","33","R","COL","16","8","7","1","1","42","493","451","2.61","0.915","9","56.3","964","1","$2.25M","$2.00M","$2.00M"
"MADS SOGAARD","","22","L","OTT","19","8","6","3","0","58","524","466","3.32","0.889","8","42.1","1047","0","0","0","0"
"LAURENT BROSSOIT","","30","L","WPG","11","7","0","3","0","23","317","294","2.17","0.927","7","63.6","636","1","$3.00M","$2.33M","$2.33M"
"ELVIS MERZLIKINS","","29","L","CBJ","30","7","18","2","0","110","889","779","4.23","0.876","7","23.3","1560","4","$5.25M","$5.40M","$5.40M"
"THOMAS GREISS","","37","L","","21","7","10","0","1","65","626","561","3.58","0.896","6","28.6","1089","0","$1.25M","$1.25M","$1.50M"
"SAMUEL ERSSON","","23","L","PHI","12","6","3","0","1","33","327","294","3.07","0.899","5","41.7","644","3","$0.84M","$0.86M","$0.93M"
"CONNOR INGRAM","","26","L","ARI","27","6","13","8","1","89","960","871","3.37","0.907","15","55.6","1586","3","$0.75M","$0.73M","$0.73M"
"JOSEPH WOLL","","25","L","TOR","7","6","1","0","0","15","219","204","2.16","0.932","6","85.7","416","2","$0.75M","$0.77M","$0.77M"
"ANTHONY STOLARZ","","29","L","FLA","19","5","6","0","0","50","494","444","3.66","0.899","4","21.1","820","1","$0.95M","$0.95M","$0.95M"
"MAGNUS HELLBERG","","32","L","PIT","18","5","8","1","0","50","447","397","3.20","0.888","6","33.3","936","1","$0.75M","$0.75M","$0.75M"
"JAXSON STAUBER","","24","L","CHI","6","5","1","0","0","17","191","174","2.81","0.911","4","66.7","363","1","$0.84M","$0.88M","$0.93M"
"DEVON LEVI","","21","L","BUF","7","5","2","0","0","21","222","201","2.94","0.905","5","71.4","429","2","$0.93M","$0.93M","$1.57M"
"CAL PETERSEN","","28","R","PHI","10","5","3","2","0","34","257","223","3.75","0.868","3","30.0","543","2","$4.00M","$5.00M","$5.00M"
"ALEX NEDELJKOVIC","","27","L","PIT","15","5","7","2","0","49","466","417","3.53","0.895","5","33.3","832","1","$3.50M","$3.00M","$3.00M"
"IVAN PROSVETOV","","24","L","ARI","7","4","3","0","0","28","234","206","3.98","0.880","3","42.9","422","1","$0.75M","$0.75M","$0.75M"
"LUKAS DOSTAL","","23","L","ANA","19","4","10","3","0","67","679","612","3.78","0.901","12","63.2","1062","2","$0.83M","$0.82M","$0.91M"
"DANIIL TARASOV","","24","L","CBJ","17","4","11","1","0","57","528","471","3.91","0.892","6","35.3","874","2","$0.75M","$1.05M","$1.05M"
"ARTURS SILOVS","","22","L","VAN","5","3","2","0","0","14","152","138","2.75","0.908","4","80.0","305","1","$0.75M","$0.79M","$0.80M"
"JOEL HOFER","","23","L","STL","6","3","1","1","0","17","179","162","3.22","0.905","3","50.0","317","2","$0.75M","$0.80M","$0.91M"
"ERIK KALLGREN","","26","L","N.J","10","3","2","4","0","25","246","221","2.67","0.898","3","30.0","561","1","$0.75M","$0.75M","$0.75M"
"FELIX SANDSTROM","","26","L","PHI","20","3","12","3","0","69","575","506","3.72","0.880","5","25.0","1112","1","$0.75M","$0.78M","$0.78M"
"ARVID SODERBLOM","","24","L","CHI","15","2","10","2","0","48","453","405","3.45","0.894","7","46.7","835","2","$0.93M","$0.88M","$0.93M"
"JONAS JOHANSSON","","27","L","T.B","3","2","0","0","0","5","73","68","2.10","0.932","1","33.3","142","2","$0.75M","$0.75M","$0.75M"
"JOEY DACCORD","","27","L","SEA","5","2","1","1","0","13","130","117","3.14","0.900","1","20.0","248","2","$0.80M","$0.75M","$0.75M"
"MICHAEL HUTCHINSON","","33","R","","16","2","6","3","0","53","432","379","4.21","0.877","2","12.5","755","0","$0.75M","$0.75M","$0.75M"
"JIRI PATERA","","24","L","VGK","2","2","0","0","0","5","70","65","2.50","0.929","2","100.0","120","1","$0.82M","$0.80M","$0.80M"
"DUSTIN TOKARSKI","","33","L","BUF","4","1","2","0","0","12","117","105","3.44","0.897","2","50.0","209","1","$0.78M","$0.78M","$0.78M"
"DYLAN FERGUSON","","24","L","","2","1","1","0","0","5","83","78","2.52","0.940","1","50.0","118","0","$0.75M","$0.75M","$0.75M"
"EETU MAKINIEMI","","24","L","S.J","2","1","0","1","0","3","32","29","2.13","0.906","1","50.0","84","1","$0.89M","$0.87M","$0.93M"
"KEITH KINKAID","","34","L","","2","1","0","0","0","2","40","38","1.37","0.950","1","50.0","87","0","$0.75M","$0.75M","$0.75M"
"JON GILLIES","","29","L","","3","1","1","0","0","9","66","57","4.57","0.864","0","0.0","118","0","$0.75M","$0.75M","$0.75M"
"DUSTIN WOLF","","22","L","CGY","1","1","0","0","0","1","24","23","1.00","0.958","1","100.0","59","1","$0.84M","$0.81M","$0.83M"
"KEVIN MANDOLESE","","23","L","OTT","3","1","2","0","0","10","119","109","3.29","0.916","2","66.7","182","1","$0.89M","$0.84M","$0.86M"
"JUSTUS ANNUNEN","","23","L","COL","2","1","1","0","0","7","48","41","3.58","0.854","1","50.0","117","1","$0.93M","$0.88M","$1.05M"
"MATT MURRAY","","25","L","DAL","3","1","2","0","0","10","64","54","3.39","0.844","1","33.3","177","1","$0.75M","$0.75M","$0.75M"
"DYLAN WELLS","","25","L","","1","0","0","0","0","1","13","12","3.00","0.923","0","0.0","20","0","$0.75M","$0.75M","$0.75M"
"JET GREAVES","","22","L","CBJ","1","0","1","0","0","3","49","46","3.05","0.939","1","100.0","58","1","$0.75M","$0.76M","$0.76M"
"OLLE ERIKSSON EK","","24","L","","1","0","0","1","0","5","39","34","4.69","0.872","0","0.0","63","0","$0.75M","$0.75M","$0.75M"
"AARON DELL","","34","L","","4","0","3","0","0","9","103","94","2.71","0.913","2","50.0","199","0","$0.78M","$0.78M","$0.78M"
"YAROSLAV ASKAROV","","21","R","NSH","1","0","1","0","0","4","35","31","4.15","0.886","0","0.0","57","2","$0.93M","$0.93M","$1.78M"
"ANTON KHUDOBIN","","37","L","","1","0","1","0","0","6","28","22","6.00","0.786","0","0.0","60","0","$3.75M","$3.33M","$3.33M"
"CAYDEN PRIMEAU","","24","L","MTL","3","0","2","0","0","8","54","46","3.46","0.852","1","33.3","138","2","$0.77M","$0.89M","$0.89M"
"LEEVI MERILAINEN","","21","L","OTT","2","0","1","1","0","6","49","43","4.23","0.878","1","50.0","85","2","$0.83M","$0.82M","$0.82M"
"MATTHEW BERLIN","","25","L","","1","0","0","0","0","0","1","1","0.00","1.000","0","0.0","2","0","0","0","0"
"JETT ALEXANDER","","23","L","","1","0","0","0","0","0","0","0","0.00","0","0","0.0","1","0","0","0","0"
