"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"ALEXANDAR GEORGIEV","","27","L","COL","62","40","16","6","5","155","1904","1749","2.51","0.919","41","66.1","3700","2","$3.60M","$3.40M","$3.40M"
"LINUS ULLMARK","","30","L","BOS","49","40","6","1","2","91","1457","1366","1.89","0.938","42","85.7","2882","2","$6.00M","$5.00M","$5.00M"
"IGOR SHESTERKIN","","27","L","NYR","58","37","13","8","3","144","1719","1575","2.48","0.916","35","60.3","3488","2","$6.00M","$5.67M","$5.67M"
"CONNOR HELLEBUYCK","","30","L","WPG","64","37","25","2","4","157","1964","1807","2.49","0.920","44","68.8","3777","1","$4.50M","$6.17M","$6.17M"
"JAKE OETTINGER","","24","L","DAL","62","37","11","11","5","143","1776","1633","2.35","0.919","38","61.3","3644","2","$2.40M","$4.00M","$4.00M"
"ANDREI VASILEVSKIY","","29","L","T.B","60","34","22","4","4","159","1875","1716","2.65","0.915","35","58.3","3596","5","$11.00M","$9.50M","$9.50M"
"VITEK VANECEK","","27","L","N.J","52","33","11","4","3","119","1333","1214","2.45","0.911","32","61.5","2915","2","$3.55M","$3.40M","$3.40M"
"JUUSE SAROS","","28","L","NSH","64","33","23","7","2","171","2099","1928","2.69","0.919","40","62.5","3809","2","$5.00M","$5.00M","$5.00M"
"ILYA SOROKIN","","28","L","NYI","62","31","22","7","6","139","1838","1699","2.33","0.924","43","69.4","3587","7","$4.00M","$4.00M","$4.00M"
"STUART SKINNER","","24","L","EDM","50","29","14","5","1","132","1536","1404","2.73","0.914","29","58.0","2903","3","$0.75M","$0.75M","$0.75M"
"JORDAN BINNINGTON","","30","L","STL","61","27","27","6","2","194","1826","1632","3.31","0.894","27","44.3","3516","4","$6.00M","$6.00M","$6.00M"
"MARTIN JONES","","33","L","TOR","48","27","13","3","3","129","1145","1016","2.95","0.887","20","41.7","2625","1","$2.00M","$2.00M","$2.00M"
"ILYA SAMSONOV","","26","L","TOR","42","27","10","5","4","96","1184","1088","2.33","0.919","26","61.9","2475","1","$1.80M","$1.80M","$1.80M"
"VILLE HUSSO","","28","L","DET","56","26","22","7","4","167","1603","1436","3.11","0.896","26","46.4","3220","2","$4.75M","$4.75M","$4.75M"
"MARC-ANDRE FLEURY","","38","L","MIN","46","24","16","4","2","126","1367","1241","2.85","0.908","26","56.5","2654","1","$3.50M","$3.50M","$3.50M"
"SERGEI BOBROVSKY","","34","L","FLA","50","24","20","3","1","145","1477","1332","3.07","0.902","30","60.0","2834","3","$12.00M","$10.00M","$10.00M"
"JEREMY SWAYMAN","","24","L","BOS","37","24","6","4","4","76","953","877","2.27","0.920","21","56.8","2012","1","$0.93M","$0.93M","$1.05M"
"PHEONIX COPLEY","","31","L","L.A","37","24","6","3","1","92","947","855","2.64","0.903","20","54.1","2089","1","$0.83M","$0.83M","$0.83M"
"TRISTAN JARRY","","28","L","PIT","47","24","13","7","2","128","1414","1286","2.90","0.909","26","55.3","2650","5","$4.50M","$3.50M","$3.50M"
