"Name","Compare","Pos","Age","Team","GP","PPG","PPA","PPP","PP SOG","%PP","PPTOI/G","TOI","PPTOI","PPP/60PPMIN","PP IPP"
"CONNOR MCDAVID","","C","26","EDM","82","21","50","71","108","79.6","03:56","22:23","321:53","13.2","81.6"
"LEON DRAISAITL","","C","27","EDM","80","32","30","62","105","80.6","03:58","21:44","317:48","11.7","71.3"
"RYAN NUGENT-HOPKINS","","L","30","EDM","82","15","38","53","60","78.4","03:52","19:48","316:50","10.0","60.9"
"NIKITA KUCHEROV","","R","30","T.B","82","8","41","49","82","74.6","04:00","20:08","328:19","9.0","84.5"
"JASON ROBERTSON","","L","24","DAL","82","13","28","41","99","66.3","03:19","18:50","272:29","9.0","77.4"
"JOHN TAVARES","","C","32","TOR","80","18","21","39","103","69.5","03:27","17:39","276:12","8.5","72.2"
"MIKA ZIBANEJAD","","C","30","NYR","82","20","19","39","98","71.4","03:30","19:58","286:42","8.2","84.8"
"DAVID PASTRNAK","","R","27","BOS","82","18","19","37","123","72.0","03:50","19:34","314:26","7.1","69.8"
"MIKKO RANTANEN","","R","26","COL","82","13","24","37","76","78.6","04:09","22:13","340:01","6.5","66.1"
"ARTEMI PANARIN","","L","31","NYR","82","9","27","36","68","73.3","03:35","19:36","294:07","7.3","72"
"MATTHEW TKACHUK","","R","25","FLA","79","14","22","36","100","76.6","04:26","20:26","350:24","6.2","69.2"
"EVGENI MALKIN","","C","37","PIT","82","11","25","36","71","72.3","04:06","18:35","335:57","6.4","72"
"MITCHELL MARNER","","R","26","TOR","80","9","27","36","48","73.0","03:34","21:17","285:59","7.6","66.7"
"STEVEN STAMKOS","","L","33","T.B","81","13","22","35","92","73.7","03:58","19:01","321:25","6.5","57.4"
"TAGE THOMPSON","","C","25","BUF","78","20","14","34","82","61.7","03:21","18:35","261:48","7.8","70.8"
"NATHAN MACKINNON","","C","28","COL","71","12","22","34","105","75.7","04:05","22:19","289:58","7.0","66.7"
"MIRO HEISKANEN","","D","24","DAL","79","2","32","34","45","64.6","03:15","25:29","257:03","7.9","66.7"
"QUINN HUGHES","","D","23","VAN","78","2","32","34","48","74.7","04:07","25:40","320:59","6.4","79.1"
"BRANDON MONTOUR","","D","29","FLA","80","3","30","33","61","73.9","04:17","24:08","342:23","5.8","60"
"KIRILL KAPRIZOV","","L","26","MIN","67","17","15","32","89","76.7","03:53","21:07","260:18","7.4","74.4"
